hour,de_demand
1,45423000
2,44958000
3,43357000
4,41577000
5,40239000
6,39146000
7,37415000
8,36844000
9,37079000
10,38899000
11,40984000
12,43556000
13,45168000
14,45006000
15,44513000
16,44689000
17,47069000
18,50440000
19,51420000
20,50351000
21,48600000
22,47511000
23,48469000
24,46351000
25,43731000
26,41647000
27,40550000
28,39944000
29,39962000
30,39604000
31,39023000
32,41494000
33,44873000
34,48209000
35,50078000
36,51656000
37,52257000
38,51440000
39,50802000
40,50959000
41,52592000
42,57243000
43,57623000
44,56395000
45,53209000
46,51751000
47,52337000
48,50131000
49,47263000
50,45232000
51,43657000
52,42125000
53,41626000
54,40730000
55,39329000
56,40137000
57,41573000
58,43922000
59,46302000
60,48891000
61,49692000
62,48422000
63,47521000
64,47382000
65,49893000
66,54129000
67,55223000
68,54069000
69,51966000
70,51092000
71,52157000
72,49795000
73,47204000
74,44941000
75,43753000
76,43205000
77,43571000
78,44570000
79,48193000
80,53556000
81,56857000
82,58919000
83,60324000
84,61495000
85,61932000
86,61270000
87,60665000
88,60261000
89,61349000
90,65184000
91,64950000
92,63907000
93,60948000
94,59205000
95,58347000
96,55551000
97,53297000
98,51163000
99,49721000
100,48922000
101,49203000
102,50640000
103,54785000
104,60992000
105,63970000
106,64783000
107,65411000
108,66271000
109,66488000
110,66132000
111,65248000
112,64694000
113,65363000
114,68283000
115,68976000
116,67865000
117,64787000
118,61942000
119,60837000
120,56903000
121,53995000
122,51815000
123,50321000
124,49454000
125,49559000
126,50533000
127,54066000
128,59468000
129,61945000
130,62833000
131,63884000
132,64938000
133,64994000
134,64128000
135,63125000
136,62716000
137,63390000
138,66524000
139,67648000
140,66439000
141,63308000
142,61222000
143,60573000
144,57111000
145,54061000
146,51688000
147,50290000
148,49504000
149,50040000
150,52251000
151,57664000
152,64486000
153,66659000
154,66796000
155,67289000
156,67868000
157,67812000
158,67186000
159,66318000
160,66071000
161,66256000
162,69530000
163,70325000
164,69366000
165,66340000
166,63738000
167,62153000
168,58461000
169,55341000
170,53153000
171,51585000
172,50510000
173,50897000
174,52784000
175,57548000
176,64071000
177,66313000
178,66785000
179,67401000
180,68027000
181,68069000
182,66788000
183,65745000
184,65066000
185,65664000
186,69108000
187,69571000
188,67826000
189,64220000
190,61985000
191,61411000
192,58556000
193,56357000
194,54357000
195,52955000
196,51845000
197,51403000
198,50970000
199,50405000
200,52576000
201,55607000
202,58712000
203,60814000
204,62197000
205,62602000
206,61571000
207,59878000
208,59388000
209,60229000
210,63236000
211,64299000
212,62678000
213,59335000
214,57697000
215,57941000
216,56065000
217,53311000
218,51000000
219,49590000
220,48107000
221,47138000
222,45745000
223,43458000
224,44170000
225,46722000
226,49746000
227,51746000
228,54398000
229,54543000
230,52611000
231,51258000
232,50884000
233,51949000
234,56620000
235,59123000
236,58793000
237,56553000
238,55160000
239,56106000
240,53812000
241,51530000
242,49510000
243,48602000
244,48104000
245,48616000
246,50866000
247,57089000
248,63443000
249,66093000
250,66924000
251,67796000
252,68898000
253,69031000
254,68524000
255,67511000
256,66892000
257,66849000
258,69473000
259,70517000
260,69733000
261,66858000
262,64265000
263,62967000
264,59053000
265,55873000
266,53774000
267,52538000
268,51955000
269,52302000
270,54271000
271,60837000
272,67604000
273,69715000
274,69721000
275,70035000
276,70226000
277,70462000
278,69951000
279,69081000
280,68666000
281,68926000
282,72034000
283,73130000
284,72159000
285,68926000
286,66326000
287,64397000
288,60593000
289,57709000
290,55812000
291,54351000
292,53481000
293,54061000
294,56034000
295,62174000
296,68976000
297,71193000
298,71106000
299,71663000
300,72084000
301,71727000
302,71549000
303,70770000
304,70386000
305,70354000
306,73133000
307,73992000
308,72740000
309,68928000
310,65904000
311,64238000
312,60545000
313,56186000
314,54058000
315,52495000
316,51937000
317,52103000
318,54181000
319,59925000
320,66378000
321,68461000
322,68593000
323,69142000
324,69836000
325,69798000
326,69269000
327,68230000
328,67521000
329,67240000
330,70093000
331,71013000
332,69779000
333,66324000
334,63228000
335,61605000
336,57775000
337,54672000
338,52604000
339,51447000
340,50935000
341,51437000
342,53496000
343,58974000
344,65633000
345,67984000
346,68282000
347,69138000
348,69801000
349,69341000
350,68346000
351,66811000
352,66051000
353,65859000
354,68350000
355,69039000
356,67475000
357,63861000
358,61037000
359,60138000
360,56942000
361,53932000
362,51634000
363,50164000
364,49217000
365,48789000
366,47953000
367,47460000
368,50464000
369,53854000
370,56916000
371,58678000
372,59943000
373,59620000
374,58059000
375,56887000
376,56775000
377,57458000
378,61046000
379,62847000
380,61434000
381,57828000
382,56382000
383,56615000
384,54349000
385,51934000
386,49482000
387,47536000
388,46738000
389,46033000
390,44376000
391,42324000
392,42701000
393,45240000
394,48679000
395,51170000
396,53765000
397,53721000
398,51865000
399,50363000
400,49705000
401,50070000
402,54227000
403,57036000
404,56633000
405,54517000
406,53362000
407,53978000
408,51023000
409,48355000
410,46399000
411,45423000
412,45350000
413,46405000
414,49129000
415,54989000
416,61833000
417,64738000
418,65560000
419,66077000
420,67287000
421,67005000
422,66687000
423,65658000
424,65026000
425,64707000
426,67437000
427,68671000
428,67565000
429,64256000
430,61582000
431,59748000
432,55070000
433,51541000
434,49737000
435,49043000
436,49056000
437,50105000
438,52381000
439,58516000
440,65302000
441,67824000
442,67815000
443,68318000
444,68798000
445,68363000
446,67758000
447,66724000
448,66352000
449,66145000
450,68712000
451,69869000
452,68970000
453,65333000
454,62500000
455,60407000
456,55945000
457,52613000
458,50859000
459,49667000
460,49683000
461,50497000
462,52635000
463,58712000
464,65713000
465,67899000
466,67835000
467,68057000
468,68381000
469,67688000
470,67096000
471,66311000
472,66045000
473,66044000
474,68984000
475,70624000
476,69444000
477,66084000
478,62654000
479,60741000
480,56675000
481,53484000
482,51562000
483,50604000
484,50348000
485,50905000
486,53045000
487,58821000
488,65885000
489,67924000
490,67670000
491,67702000
492,68688000
493,68447000
494,68037000
495,67392000
496,66877000
497,66524000
498,69043000
499,70225000
500,69383000
501,66019000
502,62905000
503,60872000
504,56625000
505,53083000
506,51239000
507,49811000
508,49736000
509,50300000
510,52435000
511,58295000
512,65261000
513,67907000
514,68007000
515,68118000
516,68422000
517,66569000
518,65504000
519,64819000
520,64224000
521,64095000
522,67370000
523,68458000
524,67035000
525,63557000
526,60386000
527,59338000
528,55714000
529,52411000
530,50356000
531,48885000
532,48177000
533,47883000
534,47234000
535,46839000
536,49948000
537,53896000
538,56885000
539,58579000
540,59628000
541,59050000
542,57101000
543,55631000
544,55310000
545,55633000
546,59168000
547,60940000
548,59526000
549,56161000
550,54083000
551,54214000
552,51760000
553,48800000
554,46625000
555,45130000
556,44350000
557,43972000
558,42781000
559,41098000
560,41995000
561,44581000
562,47624000
563,50054000
564,52544000
565,52552000
566,50709000
567,49261000
568,48919000
569,49584000
570,53756000
571,56810000
572,56694000
573,54719000
574,53335000
575,53879000
576,51562000
577,48539000
578,46602000
579,45768000
580,45448000
581,46674000
582,49332000
583,55246000
584,61529000
585,63903000
586,64829000
587,66040000
588,67255000
589,67012000
590,66512000
591,65361000
592,64709000
593,63988000
594,66814000
595,68565000
596,67628000
597,64661000
598,62022000
599,60366000
600,56307000
601,53158000
602,51086000
603,50219000
604,49977000
605,50665000
606,53123000
607,59314000
608,65985000
609,68011000
610,68350000
611,69028000
612,69471000
613,69039000
614,68933000
615,68302000
616,67570000
617,67032000
618,70491000
619,71912000
620,70817000
621,67695000
622,64964000
623,63789000
624,60717000
625,58168000
626,56176000
627,54844000
628,53478000
629,53386000
630,55372000
631,61232000
632,68118000
633,69899000
634,70090000
635,70683000
636,71510000
637,71280000
638,71263000
639,70859000
640,70554000
641,70684000
642,74955000
643,76824000
644,75447000
645,71705000
646,68819000
647,67364000
648,64045000
649,60710000
650,58699000
651,56940000
652,55873000
653,55471000
654,56938000
655,62257000
656,68580000
657,70526000
658,70931000
659,71889000
660,73138000
661,73216000
662,72610000
663,71553000
664,70685000
665,69389000
666,71652000
667,73150000
668,71378000
669,67821000
670,64553000
671,62877000
672,59129000
673,56014000
674,53435000
675,51882000
676,51491000
677,51599000
678,53581000
679,58662000
680,65108000
681,67367000
682,68138000
683,68525000
684,68863000
685,68463000
686,67174000
687,65891000
688,65125000
689,64696000
690,68166000
691,69264000
692,67650000
693,63637000
694,61212000
695,60484000
696,57719000
697,54888000
698,53088000
699,51870000
700,51438000
701,51248000
702,50074000
703,49012000
704,51344000
705,54605000
706,58101000
707,59309000
708,60164000
709,59860000
710,57995000
711,56599000
712,55594000
713,55188000
714,58637000
715,61344000
716,59592000
717,56081000
718,53918000
719,54777000
720,52751000
721,50344000
722,48278000
723,46782000
724,45570000
725,44563000
726,43616000
727,42080000
728,42704000
729,45109000
730,48321000
731,50594000
732,53236000
733,53087000
734,51373000
735,49680000
736,49182000
737,49444000
738,53800000
739,57907000
740,57350000
741,55547000
742,54303000
743,55544000
744,52968000
745,52597000
746,51072000
747,50746000
748,50320000
749,51221000
750,52911000
751,59149000
752,66104000
753,68495000
754,69443000
755,70404000
756,70930000
757,70736000
758,70564000
759,69824000
760,69131000
761,67886000
762,70366000
763,72522000
764,70836000
765,67558000
766,64944000
767,63211000
768,60058000
769,58022000
770,56961000
771,55739000
772,54640000
773,54977000
774,56706000
775,61476000
776,67964000
777,70576000
778,71095000
779,71994000
780,73159000
781,73453000
782,74014000
783,73753000
784,73389000
785,72746000
786,74791000
787,76352000
788,74451000
789,70363000
790,66545000
791,64177000
792,60701000
793,57603000
794,55119000
795,53634000
796,54472000
797,55479000
798,56287000
799,61220000
800,68542000
801,71161000
802,71673000
803,72746000
804,73753000
805,73546000
806,73124000
807,72067000
808,71514000
809,70836000
810,72886000
811,75373000
812,73030000
813,68360000
814,64728000
815,62446000
816,58325000
817,55260000
818,54375000
819,53992000
820,53529000
821,53372000
822,54963000
823,60155000
824,66706000
825,68484000
826,68593000
827,68920000
828,69190000
829,68584000
830,67967000
831,67000000
832,66532000
833,65800000
834,68446000
835,71561000
836,70046000
837,66514000
838,63473000
839,61509000
840,57407000
841,54553000
842,53389000
843,52859000
844,53055000
845,54192000
846,55594000
847,60414000
848,67152000
849,69032000
850,68868000
851,69704000
852,70072000
853,69720000
854,68233000
855,66714000
856,65697000
857,65227000
858,68224000
859,69978000
