hour,nl_demand
1,11081000
2,10752000
3,10172000
4,9581000
5,9206000
6,9139000
7,9318000
8,9610000
9,9891000
10,10251000
11,10912000
12,11450000
13,11681000
14,11708000
15,11653000
16,11598000
17,11951000
18,13422000
19,13841000
20,13744000
21,13483000
22,12968000
23,12239000
24,11335000
25,10383000
26,9644000
27,9307000
28,9168000
29,9183000
30,9310000
31,9769000
32,10555000
33,11595000
34,12777000
35,13533000
36,13830000
37,13878000
38,13733000
39,13604000
40,13464000
41,13998000
42,15116000
43,15027000
44,14663000
45,14043000
46,13181000
47,12484000
48,11615000
49,10731000
50,9838000
51,9280000
52,9072000
53,9082000
54,9137000
55,9386000
56,9798000
57,10456000
58,11176000
59,11864000
60,12305000
61,12533000
62,12440000
63,12308000
64,12210000
65,12606000
66,14437000
67,14757000
68,14646000
69,14185000
70,13419000
71,12511000
72,11311000
73,10347000
74,9758000
75,9577000
76,9562000
77,9670000
78,10102000
79,11542000
80,13992000
81,15634000
82,16135000
83,16348000
84,16526000
85,16385000
86,16494000
87,16397000
88,16302000
89,16553000
90,17353000
91,16780000
92,16508000
93,15699000
94,14806000
95,13568000
96,12361000
97,11102000
98,10343000
99,10035000
100,9946000
101,9972000
102,10392000
103,11729000
104,14151000
105,15853000
106,16339000
107,16498000
108,16516000
109,16271000
110,16339000
111,16077000
112,15984000
113,16220000
114,17258000
115,16717000
116,16289000
117,15486000
118,14633000
119,13506000
120,12358000
121,11129000
122,10355000
123,10066000
124,10000000
125,10046000
126,10444000
127,11833000
128,14439000
129,16125000
130,16590000
131,16694000
132,16673000
133,16388000
134,16425000
135,16309000
136,16245000
137,16472000
138,17518000
139,16848000
140,16338000
141,15556000
142,14699000
143,13602000
144,12534000
145,11311000
146,10543000
147,10183000
148,10111000
149,10169000
150,10518000
151,11926000
152,14433000
153,16148000
154,16629000
155,16638000
156,16703000
157,16460000
158,16401000
159,16281000
160,16187000
161,16399000
162,17487000
163,17143000
164,16722000
165,16049000
166,14983000
167,13791000
168,12751000
169,11579000
170,10789000
171,10459000
172,10366000
173,10431000
174,10784000
175,12095000
176,14578000
177,16264000
178,16825000
179,17007000
180,16985000
181,16643000
182,16562000
183,16384000
184,16028000
185,16037000
186,17184000
187,16833000
188,16275000
189,15482000
190,14524000
191,13610000
192,12732000
193,11620000
194,10833000
195,10339000
196,10138000
197,10045000
198,10100000
199,10532000
200,11455000
201,12684000
202,13771000
203,14483000
204,14727000
205,14751000
206,14576000
207,14385000
208,14223000
209,14516000
210,15672000
211,15562000
212,15085000
213,14302000
214,13450000
215,12814000
216,11988000
217,11026000
218,10296000
219,9808000
220,9609000
221,9519000
222,9537000
223,9721000
224,10223000
225,11060000
226,11858000
227,12603000
228,13047000
229,13301000
230,13250000
231,13025000
232,12808000
233,13132000
234,14813000
235,15036000
236,14859000
237,14348000
238,13571000
239,12676000
240,11542000
241,10533000
242,9961000
243,9680000
244,9675000
245,9776000
246,10250000
247,11749000
248,14255000
249,15957000
250,16349000
251,16511000
252,16628000
253,16483000
254,16560000
255,16391000
256,16229000
257,16365000
258,17304000
259,16780000
260,16340000
261,15461000
262,14629000
263,13478000
264,12325000
265,11078000
266,10312000
267,10017000
268,9917000
269,10021000
270,10432000
271,11899000
272,14473000
273,16130000
274,16577000
275,16646000
276,16739000
277,16516000
278,16483000
279,16424000
280,16298000
281,16446000
282,17396000
283,16934000
284,16474000
285,15699000
286,14765000
287,13578000
288,12513000
289,11371000
290,10612000
291,10235000
292,10148000
293,10207000
294,10616000
295,12043000
296,14634000
297,16362000
298,16883000
299,16957000
300,16935000
301,16766000
302,16871000
303,16722000
304,16440000
305,16595000
306,17745000
307,17123000
308,16615000
309,15753000
310,14826000
311,13645000
312,12600000
313,11383000
314,10540000
315,10148000
316,10061000
317,10116000
318,10504000
319,11937000
320,14309000
321,16053000
322,16590000
323,16653000
324,16587000
325,16227000
326,16222000
327,16065000
328,15943000
329,15983000
330,16939000
331,16754000
332,16389000
333,15638000
334,14588000
335,13424000
336,12345000
337,11156000
338,10399000
339,10035000
340,9937000
341,9964000
342,10342000
343,11722000
344,14172000
345,15949000
346,16489000
347,16666000
348,16680000
349,16443000
350,16459000
351,16245000
352,16066000
353,16029000
354,16873000
355,16475000
356,15919000
357,15047000
358,14030000
359,12995000
360,12143000
361,11094000
362,10242000
363,9785000
364,9579000
365,9532000
366,9631000
367,10092000
368,11074000
369,12331000
370,13576000
371,14227000
372,14412000
373,14334000
374,14152000
375,13887000
376,13736000
377,14147000
378,15293000
379,15175000
380,14768000
381,14046000
382,13251000
383,12576000
384,11700000
385,10794000
386,10013000
387,9539000
388,9288000
389,9226000
390,9252000
391,9425000
392,9915000
393,10683000
394,11520000
395,12245000
396,12653000
397,12830000
398,12704000
399,12370000
400,12138000
401,12277000
402,13944000
403,14518000
404,14328000
405,13841000
406,13077000
407,12241000
408,11196000
409,10239000
410,9638000
411,9392000
412,9242000
413,9313000
414,9848000
415,11439000
416,14092000
417,15700000
418,16156000
419,16332000
420,16523000
421,16409000
422,16595000
423,16440000
424,16284000
425,16350000
426,17102000
427,16523000
428,16139000
429,15260000
430,14304000
431,13064000
432,11914000
433,10774000
434,10037000
435,9681000
436,9574000
437,9635000
438,10019000
439,11513000
440,14105000
441,15763000
442,16268000
443,16345000
444,16452000
445,16223000
446,16349000
447,16258000
448,16186000
449,16268000
450,17004000
451,16506000
452,16106000
453,15267000
454,14305000
455,13135000
456,12045000
457,10837000
458,10134000
459,9800000
460,9697000
461,9755000
462,10143000
463,11627000
464,14195000
465,15874000
466,16361000
467,16414000
468,16376000
469,16097000
470,16141000
471,16000000
472,15890000
473,15931000
474,16849000
475,16543000
476,16137000
477,15223000
478,14357000
479,13242000
480,12111000
481,10920000
482,10110000
483,9763000
484,9689000
485,9738000
486,10147000
487,11612000
488,14189000
489,15759000
490,16239000
491,16369000
492,16435000
493,16248000
494,16384000
495,16341000
496,16272000
497,16371000
498,17085000
499,16768000
500,16357000
501,15484000
502,14427000
503,13228000
504,12165000
505,11007000
506,10201000
507,9826000
508,9688000
509,9729000
510,10162000
511,11586000
512,14109000
513,15729000
514,16224000
515,16376000
516,16378000
517,16087000
518,16040000
519,15849000
520,15550000
521,15505000
522,16451000
523,16288000
524,15786000
525,14897000
526,13817000
527,12804000
528,11997000
529,10976000
530,10143000
531,9692000
532,9483000
533,9405000
534,9491000
535,9997000
536,10995000
537,12284000
538,13535000
539,14134000
540,14335000
541,14244000
542,14008000
543,13724000
544,13536000
545,13793000
546,14913000
547,15010000
548,14507000
549,13741000
550,13001000
551,12355000
552,11487000
553,10617000
554,9904000
555,9419000
556,9212000
557,9145000
558,9154000
559,9404000
560,9916000
561,10637000
562,11479000
563,12234000
564,12677000
565,12948000
566,12878000
567,12690000
568,12479000
569,12608000
570,14063000
571,14592000
572,14441000
573,13991000
574,13227000
575,12382000
576,11232000
577,10268000
578,9706000
579,9459000
580,9462000
581,9557000
582,10000000
583,11485000
584,13995000
585,15744000
586,16286000
587,16479000
588,16643000
589,16484000
590,16631000
591,16505000
592,16325000
593,16378000
594,17110000
595,16920000
596,16495000
597,15680000
598,14753000
599,13541000
600,12451000
601,11223000
602,10526000
603,10208000
604,10146000
605,10197000
606,10614000
607,12095000
608,14595000
609,16087000
610,16597000
611,16733000
612,16729000
613,16418000
614,16386000
615,16247000
616,16197000
617,16216000
618,17019000
619,17076000
620,16648000
621,15891000
622,14964000
623,13700000
624,12619000
625,11517000
626,10690000
627,10399000
628,10365000
629,10412000
630,10855000
631,12289000
632,14758000
633,16278000
634,16845000
635,16988000
636,17061000
637,16913000
638,16984000
639,16945000
640,16868000
641,16898000
642,17559000
643,17107000
644,16649000
645,15753000
646,14815000
647,13605000
648,12513000
649,11353000
650,10529000
651,10161000
652,10022000
653,10057000
654,10466000
655,11904000
656,14341000
657,15839000
658,16411000
659,16531000
660,16563000
661,16346000
662,16306000
663,16211000
664,16084000
665,16076000
666,16821000
667,16832000
668,16552000
669,15731000
670,14622000
671,13373000
672,12305000
673,11158000
674,10397000
675,10023000
676,9917000
677,9977000
678,10365000
679,11765000
680,14288000
681,15981000
682,16676000
683,16819000
684,16868000
685,16693000
686,16658000
687,16468000
688,16119000
689,15901000
690,16433000
691,16502000
692,15932000
693,15106000
694,14063000
695,13095000
696,12362000
697,11284000
698,10446000
699,9958000
700,9745000
701,9667000
702,9725000
703,10177000
704,11152000
705,12318000
706,13537000
707,14111000
708,14121000
709,13899000
710,13609000
711,13316000
712,13150000
713,13283000
714,14369000
715,15042000
716,14599000
717,13957000
718,13139000
719,12416000
720,11570000
721,10719000
722,10052000
723,9601000
724,9391000
725,9279000
726,9245000
727,9595000
728,10092000
729,10656000
730,11588000
731,12250000
732,12528000
733,12633000
734,12459000
735,12378000
736,12222000
737,12323000
738,13637000
739,14625000
740,14486000
741,14028000
742,13281000
743,12430000
744,11293000
745,10340000
746,9824000
747,9607000
748,9572000
749,9690000
750,10148000
751,11646000
752,14158000
753,15661000
754,16221000
755,16389000
756,16427000
757,16279000
758,16409000
759,16268000
760,16165000
761,16088000
762,16517000
763,16644000
764,16380000
765,15544000
766,14576000
767,13357000
768,12281000
769,11122000
