Name,Technology,Location,Age,Owner,Capacity,Efficiency
ppCoalA1,CoalPulverizedSuperCritical,BeneluxNode,1,Energy Producer A,,
ppCoalA2,CoalPulverizedSuperCritical,BeneluxNode,3,Energy Producer A,,
ppCoalB1,CoalPulverizedSuperCritical,BeneluxNode,5,Energy Producer B,,
ppCoalB2,CoalPulverizedSuperCritical,BeneluxNode,7,Energy Producer B,,
ppCoalA3,CoalPulverizedSuperCritical,BeneluxNode,9,Energy Producer A,,
ppCoalA4,CoalPulverizedSuperCritical,BeneluxNode,11,Energy Producer A,,
ppCoalB3,CoalPulverizedSuperCritical,BeneluxNode,13,Energy Producer B,,
ppCoalB4,CoalPulverizedSuperCritical,BeneluxNode,15,Energy Producer B,,
ppCoalA5,CoalPulverizedSuperCritical,BeneluxNode,17,Energy Producer A,,
ppCoalA6,CoalPulverizedSuperCritical,BeneluxNode,19,Energy Producer A,,
ppCoalB5,CoalPulverizedSuperCritical,BeneluxNode,21,Energy Producer B,,
ppCoalB6,CoalPulverizedSuperCritical,BeneluxNode,23,Energy Producer B,,
ppCoalA7,CoalPulverizedSuperCritical,BeneluxNode,25,Energy Producer A,,
ppCoalA8,CoalPulverizedSuperCritical,BeneluxNode,26,Energy Producer A,,
ppCoalB7,CoalPulverizedSuperCritical,BeneluxNode,27,Energy Producer B,,
ppCoalB8,CoalPulverizedSuperCritical,BeneluxNode,28,Energy Producer B,,
ppCCGTA1,CCGT,BeneluxNode,1,Energy Producer A,,
ppCCGTB1,CCGT,BeneluxNode,3,Energy Producer B,,
ppCCGTA2,CCGT,BeneluxNode,5,Energy Producer A,,
ppCCGTB2,CCGT,BeneluxNode,7,Energy Producer B,,
ppCCGTA3,CCGT,BeneluxNode,9,Energy Producer A,,
ppCCGTB3,CCGT,BeneluxNode,11,Energy Producer B,,
ppCCGTA4,CCGT,BeneluxNode,13,Energy Producer A,,
ppCCGTB4,CCGT,BeneluxNode,15,Energy Producer B,,
ppCCGTA3,CCGT,BeneluxNode,17,Energy Producer A,,
ppCCGTB3,CCGT,BeneluxNode,19,Energy Producer B,,
ppCCGTA4,CCGT,BeneluxNode,21,Energy Producer A,,
ppCCGTB4,CCGT,BeneluxNode,23,Energy Producer B,,
ppCCGTB3,CCGT,BeneluxNode,25,Energy Producer B,,
ppCCGTA4,CCGT,BeneluxNode,27,Energy Producer A,,
ppCCGTB4,CCGT,BeneluxNode,29,Energy Producer B,,
ppCCGTA4,CCGT,BeneluxNode,31,Energy Producer A,,
ppCCGTB4,CCGT,BeneluxNode,33,Energy Producer B,,
ppCCGTB3,CCGT,BeneluxNode,35,Energy Producer B,,
ppCCGTA4,CCGT,BeneluxNode,37,Energy Producer A,,
ppCCGTB4,CCGT,BeneluxNode,39,Energy Producer B,,
ppOCGTA1,OCGT,BeneluxNode,1,Energy Producer A,,
ppOCGTA2,OCGT,BeneluxNode,2,Energy Producer A,,
ppOCGTB1,OCGT,BeneluxNode,3,Energy Producer B,,
ppOCGTB2,OCGT,BeneluxNode,4,Energy Producer B,,
ppOCGTA3,OCGT,BeneluxNode,5,Energy Producer A,,
ppOCGTA4,OCGT,BeneluxNode,6,Energy Producer A,,
ppOCGTB3,OCGT,BeneluxNode,7,Energy Producer B,,
ppOCGTB4,OCGT,BeneluxNode,8,Energy Producer B,,
ppOCGTA5,OCGT,BeneluxNode,9,Energy Producer A,,
ppOCGTA6,OCGT,BeneluxNode,10,Energy Producer A,,
ppOCGTB5,OCGT,BeneluxNode,11,Energy Producer B,,
ppOCGTB6,OCGT,BeneluxNode,12,Energy Producer B,,
ppOCGTA7,OCGT,BeneluxNode,13,Energy Producer A,,
ppOCGTA8,OCGT,BeneluxNode,14,Energy Producer A,,
ppOCGTB7,OCGT,BeneluxNode,15,Energy Producer B,,
ppOCGTB8,OCGT,BeneluxNode,16,Energy Producer B,,

