hour,de_node_0,de_node_1,de_node_2,de_node_3,de_node_4,de_node_5,de_node_6,de_node_7,de_node_8,de_node_9,de_node_10,de_node_11,de_node_12,de_node_13,de_node_14,de_node_15,de_node_16,de_node_17,de_node_18
1,2.89587753792506E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
6,0.0055685419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
7,0.01113734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
8,0.0167058819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
9,0.048876006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
10,0.0810461302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
11,0.1132162544,0.1,0.1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
12,0.1128800251,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
13,0.112544052,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
14,0.1122078227,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
15,0.0848651007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
16,0.0575221225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
17,0.0301794006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
18,0.0201601768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
19,0.0101409531,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
20,0.0001217294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
21,0.000082776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
22,4.38225715916093E-005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
23,4.92042909098771E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
24,4.10035757582309E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
25,3.30591329550737E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
26,2.48071633337297E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
27,0.000001653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
28,8.27759685619287E-007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
30,0.0044191604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
31,0.0088383208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
32,0.0132577374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
33,0.0601286686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
34,0.106999856,0.1,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
35,0.1538707872,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
36,0.163449735,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
37,0.1730286829,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
38,0.1826076307,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
39,0.1401745678,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
40,0.0977415049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
41,0.0553081857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
42,0.0369834314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
43,0.0186586771,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
44,0.0003339229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
45,0.000223982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
46,0.0001142975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
47,4.56164780310319E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
48,0.000003024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
49,1.51713230305454E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
50,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
51,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
52,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
53,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
54,0.0074157529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
55,0.0148312496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
56,0.0222470026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
57,0.0727065154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
58,0.123165772,0.1,0.1,0.1,0.0,0.0,0.0,0.0,,,,,,,,,,,
59,0.1736252849,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
60,0.1761482862,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
61,0.1786715437,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
62,0.181194545,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
63,0.1376833443,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
64,0.0941721436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
65,0.0506609429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
66,0.0338720288,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
67,0.0170831148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
68,0.0002942007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
69,0.0002009175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
70,0.0001078907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
71,1.47612872729631E-005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
72,1.23266999623182E-005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
73,9.89211265167321E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
74,7.43189810617935E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
75,4.9716835606855E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
76,2.48071633337297E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
77,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
78,0.009173525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
79,0.0183467937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
80,0.0275203187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
81,0.0969375785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
82,0.1663548384,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
83,0.2357720982,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
84,0.2451001555,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
85,0.2544284689,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
86,0.2637567824,0.1,0.1,0.1,0.1,0.1,0.1,0.1,,,,,,,,,,,
87,0.2016919763,0.1,0.1,0.1,0.1,0.1,0.1,0.0,,,,,,,,,,,
88,0.1396271701,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
89,0.0775623639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
90,0.0518715735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
91,0.0261810394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
92,0.0004905053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
93,0.0003295662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
94,0.0001683709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
95,7.38064363648157E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
96,6.15053636373464E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
97,4.9460563258366E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
98,3.71594905308968E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
99,2.48071633337297E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
100,1.24035816668649E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
101,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
102,0.010967944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
103,0.0219358879,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
