hour,nl_node_0,nl_node_1,nl_node_2,nl_node_3,nl_node_4,nl_node_5,nl_node_6,nl_node_7,nl_node_8,nl_node_9,nl_node_10,nl_node_11,nl_node_12,nl_node_13,nl_node_14,nl_node_15,nl_node_16,nl_node_17,nl_node_18
1,2.03170767293573E-006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
6,0.0033276587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
7,0.0066553174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
8,0.0099827402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
9,0.0573963317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
10,0.1048096872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
11,0.1522232787,0.1,0.1,0.1,0.1,0.0,0.0,0.0,,,,,,,,,,,
12,0.1607231791,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
13,0.1692233154,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
14,0.1777232157,0.1,0.1,0.1,0.1,0.1,0.0,0.0,,,,,,,,,,,
15,0.1361178069,0.1,0.1,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
16,0.0945123981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
17,0.0529067533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
18,0.0353901767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
19,0.0178736002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
20,0.0003570237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
21,0.0002380944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
22,0.0001189292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
23,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
24,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
25,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
27,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
29,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
30,0.0025338533,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,
