Name,Technology,Location,Age,Owner,Capacity,Efficiency
CoalPSC Energy Producer H 11,CoalPSC,cweNode,11,Energy Producer H,198.674055034499,
CoalPSC Energy Producer F 13,CoalPSC,cweNode,13,Energy Producer F,199.139151780602,
CoalPSC Energy Producer G 14,CoalPSC,cweNode,14,Energy Producer G,686.991732272881,
CoalPSC Energy Producer H 15,CoalPSC,cweNode,15,Energy Producer H,269.2988931842,
CoalPSC Energy Producer E 16,CoalPSC,cweNode,16,Energy Producer E,652.639645507362,
CoalPSC Energy Producer F 17,CoalPSC,cweNode,17,Energy Producer F,130.44730776566,
CoalPSC Energy Producer G 18,CoalPSC,cweNode,18,Energy Producer G,200.325525218377,
CoalPSC Energy Producer H 19,CoalPSC,cweNode,19,Energy Producer H,723.007618738375,
CoalPSC Energy Producer E 20,CoalPSC,cweNode,20,Energy Producer E,990.251250086521,
CoalPSC Energy Producer F 21,CoalPSC,cweNode,21,Energy Producer F,491.302447593524,
CoalPSC Energy Producer G 22,CoalPSC,cweNode,22,Energy Producer G,270.938033851981,
CoalPSC Energy Producer H 23,CoalPSC,cweNode,23,Energy Producer H,375.670423364611,
CoalPSC Energy Producer E 24,CoalPSC,cweNode,24,Energy Producer E,689.36482163499,
CoalPSC Energy Producer F 25,CoalPSC,cweNode,25,Energy Producer F,306.489166057931,
CoalPSC Energy Producer G 26,CoalPSC,cweNode,26,Energy Producer G,747.902966657515,
CoalPSC Energy Producer H 27,CoalPSC,cweNode,27,Energy Producer H,829.378806432228,
CoalPSC Energy Producer E 28,CoalPSC,cweNode,28,Energy Producer E,2222.80146553766,
CoalPSC Energy Producer F 29,CoalPSC,cweNode,29,Energy Producer F,2188.20484336955,
CoalPSC Energy Producer G 30,CoalPSC,cweNode,30,Energy Producer G,1004.24627831626,
CoalPSC Energy Producer H 31,CoalPSC,cweNode,31,Energy Producer H,888.381705714297,
CoalPSC Energy Producer E 32,CoalPSC,cweNode,32,Energy Producer E,865.419009443358,
CoalPSC Energy Producer F 33,CoalPSC,cweNode,33,Energy Producer F,1260.36971360461,
CoalPSC Energy Producer G 34,CoalPSC,cweNode,34,Energy Producer G,1771.44185528652,
CoalPSC Energy Producer H 35,CoalPSC,cweNode,35,Energy Producer H,691.970801856709,
CoalPSC Energy Producer E 36,CoalPSC,cweNode,36,Energy Producer E,831.519689907844,
CoalPSC Energy Producer F 37,CoalPSC,cweNode,37,Energy Producer F,1296.14072218096,
CoalPSC Energy Producer G 38,CoalPSC,cweNode,38,Energy Producer G,1215.10532012015,
CoalPSC Energy Producer H 39,CoalPSC,cweNode,39,Energy Producer H,948.338772547649,
CoalPSC Energy Producer E 40,CoalPSC,cweNode,40,Energy Producer E,1842.50678866357,
CoalPSC Energy Producer F 41,CoalPSC,cweNode,41,Energy Producer F,2667.04112272936,
CoalPSC Energy Producer G 42,CoalPSC,cweNode,42,Energy Producer G,2388.62831974359,
CoalPSC Energy Producer H 43,CoalPSC,cweNode,43,Energy Producer H,4548.30403281097,
CoalPSC Energy Producer F 45,CoalPSC,cweNode,45,Energy Producer F,1808.90098010847,
CoalPSC Energy Producer G 46,CoalPSC,cweNode,46,Energy Producer G,2296.71691453902,
CoalPSC Energy Producer H 47,CoalPSC,cweNode,47,Energy Producer H,1089.55146029876,
CoalPSC Energy Producer E 48,CoalPSC,cweNode,48,Energy Producer E,1066.57677699828,
CoalPSC Energy Producer F 49,CoalPSC,cweNode,49,Energy Producer F,509.518280167128,
CoalPSC Energy Producer G 50,CoalPSC,cweNode,50,Energy Producer G,904.493300874018,
Lignite Energy Producer G 10,Lignite,cweNode,10,Energy Producer G,328.526966410901,
Lignite Energy Producer E 12,Lignite,cweNode,12,Energy Producer E,106.822590593448,
Lignite Energy Producer F 13,Lignite,cweNode,13,Energy Producer F,621.590269085215,
Lignite Energy Producer G 14,Lignite,cweNode,14,Energy Producer G,329.488129174082,
Lignite Energy Producer E 16,Lignite,cweNode,16,Energy Producer E,669.093045517092,
Lignite Energy Producer F 17,Lignite,cweNode,17,Energy Producer F,189.875490089178,
Lignite Energy Producer G 18,Lignite,cweNode,18,Energy Producer G,201.815941536016,
Lignite Energy Producer H 19,Lignite,cweNode,19,Energy Producer H,120.180208029524,
Lignite Energy Producer G 22,Lignite,cweNode,22,Energy Producer G,261.234416946039,
Lignite Energy Producer H 23,Lignite,cweNode,23,Energy Producer H,62.6840581458627,
Lignite Energy Producer E 24,Lignite,cweNode,24,Energy Producer E,320.184687208817,
Lignite Energy Producer F 25,Lignite,cweNode,25,Energy Producer F,472.464663616957,
Lignite Energy Producer G 26,Lignite,cweNode,26,Energy Producer G,928.750276993189,
Lignite Energy Producer H 27,Lignite,cweNode,27,Energy Producer H,414.463354196173,
Lignite Energy Producer E 28,Lignite,cweNode,28,Energy Producer E,1280.04881734875,
Lignite Energy Producer F 29,Lignite,cweNode,29,Energy Producer F,765.761894551733,
Lignite Energy Producer G 30,Lignite,cweNode,30,Energy Producer G,812.771713367673,
Lignite Energy Producer H 31,Lignite,cweNode,31,Energy Producer H,660.98469457547,
Lignite Energy Producer E 32,Lignite,cweNode,32,Energy Producer E,895.097726987005,
Lignite Energy Producer F 33,Lignite,cweNode,33,Energy Producer F,883.66243507729,
Lignite Energy Producer G 34,Lignite,cweNode,34,Energy Producer G,533.078578676942,
Lignite Energy Producer H 35,Lignite,cweNode,35,Energy Producer H,498.230937647115,
Lignite Energy Producer E 36,Lignite,cweNode,36,Energy Producer E,580.322325753345,
Lignite Energy Producer F 37,Lignite,cweNode,37,Energy Producer F,592.262777200183,
Lignite Energy Producer G 38,Lignite,cweNode,38,Energy Producer G,990.103279850759,
Lignite Energy Producer H 39,Lignite,cweNode,39,Energy Producer H,1118.98310905997,
Lignite Energy Producer E 40,Lignite,cweNode,40,Energy Producer E,417.580770746176,
Lignite Energy Producer F 41,Lignite,cweNode,41,Energy Producer F,499.672507478726,
Lignite Energy Producer G 42,Lignite,cweNode,42,Energy Producer G,932.582377498405,
Lignite Energy Producer H 43,Lignite,cweNode,43,Energy Producer H,1494.12559791933,
Lignite Energy Producer E 44,Lignite,cweNode,44,Energy Producer E,301.60255574698,
Lignite Energy Producer F 45,Lignite,cweNode,45,Energy Producer F,594.172900805357,
Lignite Energy Producer G 46,Lignite,cweNode,46,Energy Producer G,442.39808393434,
Lignite Energy Producer H 47,Lignite,cweNode,47,Energy Producer H,197.059632657499,
Lignite Energy Producer E 48,Lignite,cweNode,48,Energy Producer E,372.702801874686,
Lignite Energy Producer F 49,Lignite,cweNode,49,Energy Producer F,267.703875559147,
Lignite Energy Producer G 50,Lignite,cweNode,50,Energy Producer G,115.916508140624,
Nuclear Energy Producer G 10,Nuclear,cweNode,10,Energy Producer G,708.027981286967,
Nuclear Energy Producer H 11,Nuclear,cweNode,11,Energy Producer H,708.622856471311,
Nuclear Energy Producer G 14,Nuclear,cweNode,14,Energy Producer G,400.008474777828,
Nuclear Energy Producer H 15,Nuclear,cweNode,15,Energy Producer H,2234.56653183112,
Nuclear Energy Producer E 16,Nuclear,cweNode,16,Energy Producer E,2009.43857547172,
Nuclear Energy Producer F 17,Nuclear,cweNode,17,Energy Producer F,486.379102645962,
Nuclear Energy Producer G 18,Nuclear,cweNode,18,Energy Producer G,881.957641520465,
Nuclear Energy Producer E 20,Nuclear,cweNode,20,Energy Producer E,1560.2835856054,
Nuclear Energy Producer F 21,Nuclear,cweNode,21,Energy Producer F,911.926834206869,
Nuclear Energy Producer G 22,Nuclear,cweNode,22,Energy Producer G,1815.41034382327,
Nuclear Energy Producer H 23,Nuclear,cweNode,23,Energy Producer H,1872.40598125362,
Nuclear Energy Producer E 24,Nuclear,cweNode,24,Energy Producer E,1308.69512345006,
Nuclear Energy Producer F 25,Nuclear,cweNode,25,Energy Producer F,5851.91908379954,
Nuclear Energy Producer G 26,Nuclear,cweNode,26,Energy Producer G,5203.53272322894,
Nuclear Energy Producer H 27,Nuclear,cweNode,27,Energy Producer H,6417.3836121126,
Nuclear Energy Producer E 28,Nuclear,cweNode,28,Energy Producer E,10904.177201044,
Nuclear Energy Producer F 29,Nuclear,cweNode,29,Energy Producer F,8111.42999722939,
Nuclear Energy Producer G 30,Nuclear,cweNode,30,Energy Producer G,5544.4049520228,
Nuclear Energy Producer H 31,Nuclear,cweNode,31,Energy Producer H,4077.86467813132,
Nuclear Energy Producer E 32,Nuclear,cweNode,32,Energy Producer E,8085.02803684187,
Nuclear Energy Producer F 33,Nuclear,cweNode,33,Energy Producer F,5884.80208819206,
Nuclear Energy Producer G 34,Nuclear,cweNode,34,Energy Producer G,3684.6050757786,
Nuclear Energy Producer H 35,Nuclear,cweNode,35,Energy Producer H,1343.30286211575,
Nuclear Energy Producer E 36,Nuclear,cweNode,36,Energy Producer E,4221.82514567842,
Nuclear Energy Producer F 37,Nuclear,cweNode,37,Energy Producer F,2501.28864559361,
Nuclear Energy Producer G 38,Nuclear,cweNode,38,Energy Producer G,2699.39015720907,
Nuclear Energy Producer H 39,Nuclear,cweNode,39,Energy Producer H,499.163535623537,
Nuclear Energy Producer E 40,Nuclear,cweNode,40,Energy Producer E,556.159173053882,
CCGT Energy Producer E 1,CCGT,cweNode,1,Energy Producer E,1273.33333333333,
CCGT Energy Producer F 2,CCGT,cweNode,2,Energy Producer F,1273.33333333333,
CCGT Energy Producer G 3,CCGT,cweNode,3,Energy Producer G,1329.33333333333,
CCGT Energy Producer H 4,CCGT,cweNode,4,Energy Producer H,1329.33333333333,
CCGT Energy Producer E 8,CCGT,cweNode,8,Energy Producer E,2588.67016171903,
CCGT Energy Producer F 9,CCGT,cweNode,9,Energy Producer F,4640.6858619736,
CCGT Energy Producer G 10,CCGT,cweNode,10,Energy Producer G,327.525514696665,
CCGT Energy Producer H 11,CCGT,cweNode,11,Energy Producer H,1143.80857740548,
CCGT Energy Producer E 12,CCGT,cweNode,12,Energy Producer E,1528.76362184388,
CCGT Energy Producer F 13,CCGT,cweNode,13,Energy Producer F,1552.31281250641,
CCGT Energy Producer G 14,CCGT,cweNode,14,Energy Producer G,1097.88964360265,
CCGT Energy Producer H 15,CCGT,cweNode,15,Energy Producer H,2263.92088075869,
CCGT Energy Producer E 16,CCGT,cweNode,16,Energy Producer E,2602.2443737612,
CCGT Energy Producer F 17,CCGT,cweNode,17,Energy Producer F,2625.79356442373,
CCGT Energy Producer G 18,CCGT,cweNode,18,Energy Producer G,1238.74214720644,
CCGT Energy Producer H 19,CCGT,cweNode,19,Energy Producer H,1285.61920834581,
CCGT Energy Producer E 20,CCGT,cweNode,20,Energy Producer E,1717.19329240056,
CCGT Energy Producer F 21,CCGT,cweNode,21,Energy Producer F,1122.87602526999,
