YEAR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120
DemandDETT,1,1.001397636,1.011027698,1.038397155,1.016001875,1.054064976,1.037731007,1.067721535,1.061834238,1.047992844,1.040175189,1.034956898,1.034366086,1.032700311,1.041981951,1.039501968,1.022776407,1.041544125,1.027079252,1.040624233,1.031773034,1.021646265,1.020942814,1.021447559,1.020597834,1.026646273,1.027283819,1.056308071,1.068851775,1.058835357,1.061030528,1.104726299,1.110178245,1.111508953,1.141500978,1.144441652,1.119977369,1.160028286,1.180365307,1.203744952,1.177333326,1.173587918,1.172737435,1.153527699,1.16954468,1.14501209,1.174007136,1.207227127,1.190292271,1.231208958,1.19947298,1.183031898,1.184855327,1.176158431,1.204385399,1.218705099,1.212512305,1.178922318,1.179192844,1.178117287,1.191858613,1.187756276,1.153505127,1.170392764,1.176207168,1.137531794,1.148832937,1.16700077,1.18850562,1.161836509,1.198502643,1.232569078,1.230533953,1.24830885,1.252398276,1.272305332,1.275972881,1.290511487,1.263208503,1.296640217,1.282994861,1.25322163,1.27169762,1.298499861,1.310018244,1.273361559,1.328130541,1.301328074,1.297980063,1.268929518,1.289092967,1.278153843,1.288538647,1.284252117,1.310785317,1.316711521,1.33724734,1.365269427,1.351855334,1.364895364,1.369562624,1.423494783,1.417493752,1.408235883,1.430133467,1.462888623,1.5202265,1.525958386,1.555391829,1.566750254
DemandDETT,1,0.998918498,0.971052549,0.949807714,0.942755822,0.928449942,0.930402629,0.927733433,0.914315672,0.925244096,0.93434108,0.936142641,0.928777931,0.946458533,0.980209167,0.978178535,1.005171578,1.02588902,1.066815157,1.04796929,1.05714595,1.029396379,1.013711788,0.98305658,1.010380878,1.0354181,1.021647637,1.012319639,0.997337177,1.00080344,1.007242546,1.007828414,1.02852032,1.021728866,1.02483543,1.018453352,1.01555577,1.0146967,1.027634336,1.03751078,1.080984526,1.094206597,1.089936349,1.063964204,1.100564772,1.099097489,1.076547517,1.045709096,1.0492717,1.097820309,1.099626538,1.115839177,1.124395485,1.114452726,1.092336302,1.054706468,1.10049782,1.115366973,1.156147993,1.124912199,1.116852489,1.12123906,1.095244329,1.094410554,1.133661259,1.100791519,1.103085316,1.110842169,1.14277721,1.132567481,1.102423946,1.108884692,1.097792123,1.101116113,1.154189508,1.13893544,1.127421705,1.143045592,1.166978245,1.187311834,1.197746845,1.190074332,1.191708697,1.197673551,1.17420468,1.177009962,1.15728754,1.158741906,1.17451227,1.156230837,1.156738422,1.142957141,1.186711911,1.202693596,1.161264211,1.13132249,1.177012484,1.1795391,1.187313904,1.182008702,1.19726982,1.22370876,1.256276266,1.260393803,1.222773808,1.239422761,1.243863014,1.224277699,1.250725611,1.294932233
DemandDETT,1,1.026816434,1.038886322,1.061408247,1.083128419,1.085576832,1.10508724,1.127312474,1.109790444,1.100021475,1.097798916,1.10982803,1.116281175,1.121091074,1.128822239,1.123297598,1.091570042,1.094475842,1.083017892,1.07301323,1.060098308,1.075772737,1.079291761,1.093885553,1.0803632,1.052672706,1.04352454,1.057401275,1.070281804,1.095503344,1.077519612,1.050910909,1.017172972,1.004220153,0.998161399,1.008046806,0.987112287,1.010411673,1.007157071,1.004356997,1.047305029,1.068851738,1.08027469,1.085999324,1.088307894,1.12228696,1.124674739,1.122462328,1.167837941,1.204226522,1.240471914,1.242442684,1.260743482,1.221864211,1.229886272,1.257948195,1.251143479,1.242674413,1.241800134,1.294554068,1.282181545,1.278715998,1.249046703,1.247565719,1.229596299,1.231803054,1.271495931,1.304548119,1.292274886,1.30954786,1.315051214,1.31438262,1.315520695,1.356890173,1.352179715,1.372602413,1.419149864,1.429234548,1.404483329,1.393899095,1.386425576,1.365000489,1.38806877,1.375263421,1.375289699,1.341223494,1.352128192,1.346392138,1.32645844,1.30678245,1.341195752,1.323216739,1.348522617,1.345727208,1.370533353,1.39780269,1.432414966,1.434043821,1.385728905,1.380389769,1.363621287,1.38155448,1.388954284,1.390188969,1.442755552,1.402023466,1.411434337,1.398721371,1.416677032,1.44559083
DemandDETT,1,1.027245898,1.031074401,1.033512702,1.060400147,1.056429734,1.042545855,1.045018037,1.052309859,1.070910239,1.059549668,1.09741523,1.087215182,1.085464284,1.111356744,1.090467872,1.070200182,1.061339207,1.050345511,1.076223688,1.104412715,1.087167728,1.087425739,1.084200444,1.074412178,1.08175047,1.092795178,1.076631585,1.055110835,1.057065499,1.069528687,1.098272011,1.059051616,1.064151762,1.072385175,1.083072116,1.10951021,1.136717307,1.174231419,1.191951948,1.225359637,1.230818682,1.229630246,1.184745525,1.160046106,1.130182546,1.17475868,1.181383472,1.178242551,1.215233407,1.186245124,1.195628579,1.156247355,1.18491198,1.17281147,1.213101165,1.187739932,1.215783559,1.223426967,1.230958219,1.245946963,1.24048653,1.269475314,1.245078578,1.270215771,1.318426634,1.299279199,1.256146994,1.240501765,1.238624385,1.233213507,1.198151919,1.2094091,1.233231864,1.224766472,1.224974492,1.229367777,1.242973755,1.219742929,1.222092421,1.248418123,1.260388888,1.274031439,1.275652719,1.278739885,1.250873458,1.266994359,1.287418215,1.287791692,1.303134934,1.271123751,1.290718895,1.291511914,1.288586808,1.287681235,1.29569505,1.320012575,1.366173434,1.363480618,1.349793364,1.361645646,1.347224658,1.374683374,1.400462223,1.414887952,1.461590424,1.487702192,1.457690825,1.454891642,1.489720829
DemandDETT,1,0.98970208,0.997504628,0.994074723,0.985383726,1.022185766,1.021008793,1.003862785,0.996971608,0.992277722,0.993139041,0.985835536,0.972926483,0.981812532,0.984188851,0.971436629,1.010298438,1.00498413,0.980515541,0.970083801,0.988935198,1.011028724,1.016493489,1.04081076,1.065943396,1.055415464,1.088983436,1.089034512,1.09203578,1.089782971,1.096364113,1.091785704,1.070013387,1.046128957,1.040863502,1.08035381,1.087107547,1.070365782,1.055549336,1.053967742,1.053523434,1.047089274,1.046002304,1.054687341,1.044746998,1.040528178,1.0493241,1.067618439,1.03658886,1.032787722,1.04945221,1.052510967,1.05732269,1.093507526,1.088213442,1.109702763,1.110486355,1.096838794,1.099255774,1.100047031,1.103361098,1.106595041,1.113688703,1.129899275,1.161829277,1.160901417,1.135870901,1.125195451,1.129710033,1.114315068,1.078776814,1.070281117,1.056081692,1.079206494,1.092236925,1.122774829,1.085847733,1.066369488,1.078171766,1.093533928,1.113211171,1.092672566,1.060826423,1.031644611,1.049339142,1.080307674,1.056527217,1.033970661,1.015518775,1.008969419,1.039060198,1.050263634,1.024743587,1.030149826,1.046692585,1.019736431,1.021793665,1.053451568,1.027101159,1.004487725,1.02172483,1.050177285,1.045213651,1.032953363,1.037117755,1.044563084,1.037940832,1.007493731,0.975737637,0.943851073
DemandDETT,1,1.017489795,1.018032631,1.031880648,1.015749728,1.003003398,1.019971374,1.037296755,1.011850037,0.999229029,0.981291058,0.973965669,0.940047435,0.949950805,0.961872829,0.985806368,0.972531223,0.965960649,0.965716539,0.97260099,0.963797079,0.962488223,0.984467915,1.023466461,1.031690863,1.061885192,1.059729605,1.07782833,1.098844794,1.126300238,1.136614382,1.14710486,1.144963586,1.137211497,1.11720799,1.092846562,1.105995748,1.063782863,1.071433759,1.113504092,1.084518094,1.084889329,1.121727147,1.126960675,1.127533054,1.120482578,1.10438066,1.081407241,1.067618528,1.065023985,1.044028674,1.067076997,1.05907212,1.055056032,1.053867477,1.050069433,1.032091305,1.071351343,1.090834428,1.098699661,1.070068463,1.092905668,1.099401849,1.096425501,1.084990683,1.094929575,1.078305637,1.079020863,1.052144451,1.062633817,1.03567827,1.056197495,1.064000299,1.069628285,1.074708255,1.07117289,1.06726905,1.042983315,1.052936523,1.100346718,1.067204572,1.048502202,1.049745216,1.057261094,1.035467313,1.01289602,1.008478348,1.028096002,1.028996307,1.029167954,1.071282589,1.09280098,1.13407897,1.151648445,1.160124537,1.125223516,1.121472646,1.099506921,1.087791475,1.084753212,1.11500019,1.146837141,1.141107882,1.122903236,1.130297339,1.109206574,1.072430073,1.074942783,1.10329045,1.115320794
DemandDETT,1,0.98977222,0.990159164,1.015834647,1.001296369,1.038100883,1.049037736,1.049877478,1.065976458,1.07208271,1.061676439,1.093824677,1.116964894,1.094969996,1.088608363,1.096708219,1.118619498,1.10751206,1.146711737,1.12807361,1.121686299,1.135046233,1.170506568,1.169009588,1.171103524,1.16208766,1.191004875,1.18095002,1.162956565,1.116749796,1.115530988,1.151867915,1.206226846,1.224440381,1.227404855,1.196219423,1.223272751,1.212812292,1.237629947,1.239649576,1.259681093,1.269875648,1.324428164,1.311660822,1.325933996,1.35303176,1.331199764,1.300476071,1.305191253,1.309140785,1.28452869,1.328750649,1.343195071,1.351894173,1.334913308,1.296038077,1.270296562,1.262703174,1.282631453,1.28281061,1.316594517,1.325302584,1.382212808,1.387865685,1.422448175,1.388362319,1.384462398,1.369787335,1.368411952,1.404495176,1.435230604,1.434602677,1.440311339,1.467458811,1.448615702,1.471715371,1.503761344,1.551073652,1.537650352,1.504422887,1.479539596,1.431969298,1.389508719,1.387796061,1.380675841,1.435525861,1.435841242,1.486825047,1.499543732,1.559639876,1.600134644,1.638755376,1.660597403,1.726735289,1.752050911,1.732635739,1.771618758,1.775474543,1.861508833,1.870111565,1.880031514,1.920991991,1.908124001,1.892739926,1.914960073,1.979378713,1.926100733,1.951515181,1.974855841,1.988849061
DemandDETT,1,1.012108059,0.995478137,1.028455059,1.063471366,1.10444939,1.099315415,1.105689915,1.097768709,1.091624819,1.056361105,1.094455022,1.114662431,1.109596439,1.081645727,1.059990963,1.078345053,1.078880458,1.085410715,1.089997194,1.111286178,1.109750854,1.128430172,1.127934411,1.123650319,1.122507952,1.140854222,1.149485353,1.11581716,1.108784781,1.132551413,1.127330622,1.126449606,1.151664,1.19475698,1.189647042,1.202260995,1.178382483,1.203402083,1.190602072,1.168008901,1.140432586,1.119880335,1.105349083,1.120283782,1.105538612,1.084477808,1.089359074,1.097313534,1.097034361,1.110632841,1.100313828,1.125940547,1.094820599,1.098290291,1.097893567,1.096982213,1.133874244,1.170335765,1.188836426,1.226005968,1.235631755,1.235560761,1.284595642,1.296124124,1.293017589,1.335739397,1.366112005,1.40847017,1.414751935,1.442236825,1.450828925,1.398262432,1.443742454,1.448959122,1.432378182,1.431655022,1.450675283,1.441768658,1.485475098,1.443460782,1.448113542,1.479882552,1.504692402,1.547251752,1.573771464,1.567377031,1.568740185,1.592530147,1.62065592,1.646802936,1.626320175,1.625507478,1.611406732,1.621667121,1.637751186,1.663732916,1.738431299,1.775781146,1.761267164,1.706334807,1.717286413,1.70153609,1.698494296,1.707934516,1.745806867,1.811934688,1.840235713,1.831523466,1.91537285
DemandDETT,1,1.013424255,1.02624242,0.989531217,1.013706687,1.012070697,1.010845256,1.018232328,1.052513395,1.058333009,1.081476651,1.107599199,1.119080962,1.108243832,1.085291412,1.095748677,1.096927906,1.077693505,1.052201758,1.056151935,1.08430468,1.064861847,1.072174545,1.054089757,1.079495612,1.07662637,1.070968597,1.051191005,1.072543921,1.058550353,1.095192386,1.083581703,1.079766508,1.062792097,1.066063526,1.07642695,1.086485201,1.058985491,1.05649347,1.05488397,1.054781984,1.067578922,1.072461715,1.081568155,1.111729907,1.138511401,1.139197298,1.150284568,1.17770487,1.176758257,1.181394685,1.155018782,1.173491127,1.17574583,1.203283779,1.185880086,1.180251923,1.215472866,1.236001305,1.258624262,1.264989019,1.243708966,1.224929824,1.203413535,1.18122241,1.213656687,1.225259923,1.257150049,1.276743848,1.263154132,1.266257441,1.314962474,1.31904564,1.339703063,1.388045231,1.346569051,1.308038186,1.270396877,1.314573407,1.302222993,1.310898502,1.277711847,1.30437874,1.288107476,1.253647801,1.278781753,1.303669685,1.330708245,1.30969456,1.294187787,1.266490761,1.297449979,1.332481135,1.310840201,1.321095016,1.339693256,1.301999213,1.30205605,1.338632431,1.394935157,1.431051494,1.460771899,1.455621512,1.409902773,1.451903266,1.445999747,1.480984551,1.446754885,1.445423382,1.406812259
DemandDETT,1,0.997134439,0.996585538,1.017841526,0.996612502,1.023881951,1.038547394,1.05029813,1.075953204,1.066108686,1.037240419,1.040636383,1.070281982,1.106813218,1.148849791,1.161598385,1.161666591,1.13990128,1.121447076,1.129656818,1.118124236,1.140581679,1.117479833,1.114700869,1.111521041,1.151176228,1.15109263,1.132864688,1.147848945,1.130167647,1.115558858,1.107694213,1.103777563,1.10147443,1.119436885,1.140420988,1.150066984,1.168671041,1.157736744,1.179567658,1.165576297,1.160815352,1.142968238,1.149042173,1.18310375,1.171188665,1.14961431,1.193831212,1.190403379,1.15221404,1.135290783,1.175707864,1.205925661,1.202471687,1.226325033,1.19914536,1.166923182,1.130867831,1.124634862,1.08761445,1.065862994,1.103956435,1.119906893,1.118426016,1.167507093,1.15515243,1.177075239,1.159464479,1.157905347,1.193684759,1.210304955,1.233322303,1.237665958,1.270307251,1.278171842,1.287802948,1.317632128,1.3241001,1.337498973,1.307075623,1.283038979,1.33847511,1.379444173,1.400874855,1.410747802,1.396446197,1.405666383,1.390729153,1.405392525,1.433388577,1.461902917,1.500793204,1.506146879,1.477963902,1.426292816,1.481303149,1.485226471,1.454001982,1.443349935,1.437909373,1.449446614,1.479846216,1.466072079,1.497789156,1.537338846,1.583391333,1.532759231,1.553171538,1.556001265,1.551651958
