YEAR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120
DemandDETT,1,0.999495003,1.002466375,1.012824112,1.001368385,1.016102715,1.007517883,1.018704859,1.014891754,1.007494464,1.002799207,0.999280651,0.997868744,0.995969816,0.998666616,0.996403845,0.987706528,0.994279808,0.986633156,0.991051932,0.985944618,0.98025511,0.9788157,0.977921726,0.976419665,0.977803179,0.976967053,0.987548413,0.991424645,0.985910894,0.985703956,1.001753353,1.002754079,1.00215887,1.012476345,1.012480747,1.001119852,1.015131612,1.021537167,1.0289633,1.017143591,1.014454791,1.01294788,1.003967545,1.008759151,0.99763043,1.007202922,1.018129958,1.010232698,1.023781999,1.01017095,1.002488272,1.002045662,0.997432292,1.006446225,1.010402826,1.006826768,0.992526762,0.991498304,0.989937891,0.993735332,0.990986284,0.976381485,0.981352275,0.982346191,0.965995752,0.968997126,0.97440993,0.980926632,0.969428448,0.981279222,0.991977941,0.990071194,0.995030103,0.995328035,1.00092191,1.001055594,1.004781861,0.993611509,1.003624206,0.997497377,0.985444365,0.99050389,0.998234329,1.000887928,0.986540628,1.003364422,0.992671523,0.990332161,0.978750734,0.984249369,0.979186278,0.981481378,0.978819579,0.986287337,0.987100448,0.9925237,1.000219306,0.99444256,0.99741124,0.997770245,1.013257475,1.010084844,1.005819625,1.011325944,1.019998205,1.035751261,1.036277315,1.043583996,1.045668243
DemandDETT,1,0.998346356,0.984075818,0.972800987,0.968283509,0.960249503,0.960060335,0.957663819,0.95003917,0.953799231,0.956721363,0.956460628,0.951819501,0.958429513,0.971803142,0.969742535,0.97997653,0.987432629,1.002973492,0.993473894,0.99606712,0.982602324,0.974420723,0.959415273,0.9696212,0.97870297,0.971447623,0.966155267,0.958309442,0.958677007,0.960240547,0.959402102,0.966669432,0.962554742,0.962747383,0.958819901,0.95643723,0.954961844,0.959062571,0.96191141,0.977865259,0.981850457,0.978921086,0.966805038,0.979782019,0.978045551,0.967467465,0.95329647,0.953634523,0.97120697,0.970822546,0.975807397,0.977906634,0.972711666,0.962499274,0.945767949,0.962057883,0.966497792,0.980351967,0.966744864,0.962373908,0.962926483,0.951301235,0.949871729,0.96320796,0.948941046,0.948746187,0.950532756,0.961026237,0.955879546,0.942793215,0.944102896,0.938570975,0.938753826,0.956816294,0.949760708,0.944148244,0.948643545,0.95599195,0.961981058,0.964505123,0.960489371,0.959993974,0.960981392,0.95100528,0.950934144,0.942334989,0.941800071,0.946185645,0.93816077,0.937279936,0.930943838,0.944963189,0.949306636,0.932805438,0.920400632,0.93507783,0.934911081,0.936497928,0.933454153,0.937525858,0.945240786,0.954825056,0.955111594,0.940580324,0.944962528,0.945367606,0.93726926,0.944792457,0.95785026
DemandDETT,1,1.01022495,1.014138918,1.022311641,1.030026348,1.029892884,1.03658304,1.044251687,1.035405885,1.029925094,1.027766086,1.031402559,1.032815349,1.03357439,1.035461493,1.031888168,1.016968461,1.017009712,1.010827409,1.005269332,0.998415704,1.003559942,1.003858391,1.008495587,1.001465152,0.988219514,0.983040728,0.987489043,0.991492559,1.000271396,0.991386611,0.97871186,0.962780817,0.955900064,0.952087992,0.955033638,0.944591616,0.952970421,0.950433381,0.948100631,0.964169109,0.971489746,0.974816357,0.975939837,0.975757052,0.987546605,0.987362429,0.985317457,1.001045935,1.013114453,1.024875479,1.024444363,1.029698464,1.013551592,1.015260822,1.023929633,1.020147417,1.015725297,1.014226621,1.031296114,1.025470113,1.022990572,1.010631269,1.008910407,1.000905979,1.000575167,1.013087084,1.023094853,1.017387202,1.02202027,1.022725538,1.021310608,1.020551333,1.032979059,1.030107063,1.035552579,1.049239094,1.051247718,1.041463214,1.036572149,1.032766584,1.02406175,1.030250918,1.024592093,1.02342937,1.010308386,1.012678803,1.009495315,1.001295094,0.993148169,1.003101199,0.995614958,1.002566095,1.000439639,1.007132876,1.014492409,1.023986729,1.023350724,1.005927064,1.002949405,0.996058868,1.000504441,1.001681531,1.000947325,1.015822721,1.001141462,1.002891781,0.997486376,1.001806276,1.009343454
DemandDETT,1,1.010406028,1.010900695,1.010814649,1.020808863,1.017839453,1.010369384,1.010286166,1.012165506,1.018613917,1.012354906,1.026514071,1.020842231,1.018899579,1.028045016,1.017760189,1.007678813,1.002593134,0.996550726,1.005824973,1.015844892,1.007205514,1.006165537,1.003607863,0.998188677,0.999983373,1.003206396,0.995063983,0.984549433,0.984248819,0.988076959,0.998204295,0.980258431,0.981188358,0.983327724,0.986395713,0.995480839,1.004696416,1.017589762,1.022963802,1.033946005,1.03476961,1.033115023,1.014156001,1.003029088,0.989709478,1.005097639,1.006400123,1.003987648,1.016191538,1.003602202,1.005863707,0.989095167,0.998363966,0.992415836,1.00571687,0.994654934,1.00348089,1.005055254,1.006576596,1.010655452,1.007411474,1.016247817,1.005878781,1.013353145,1.028473715,1.02025621,1.003122999,0.996085959,0.994235984,0.991051317,0.97663513,0.979447469,0.986522501,0.982201802,0.981156682,0.981578894,0.985097461,0.975291569,0.975024951,0.982825972,0.985736237,0.989168553,0.988614042,0.988553093,0.977267066,0.981520217,0.987129514,0.986134534,0.990021574,0.977424784,0.982720413,0.981877109,0.979705699,0.97826053,0.979769188,0.986462389,0.999940229,0.997867366,0.992003899,0.99460341,0.988500131,0.99592557,1.00272269,1.005992872,1.018905292,1.025478072,1.014553196,1.012474325,1.021598615
DemandDETT,1,0.994001695,0.996230468,0.993476154,0.988245288,1.002738318,1.001047092,0.991977394,0.987632681,0.984311016,0.983580211,0.979045406,0.971882083,0.974573316,0.974513346,0.967446322,0.982717961,0.97915711,0.966798955,0.960844335,0.967677587,0.975745913,0.976914039,0.985710999,0.994680466,0.98891161,1.001103414,0.999980443,1.00006058,0.997944151,0.999405533,0.996294982,0.985789513,0.974288967,0.970862853,0.985343307,0.986874506,0.978581225,0.971076294,0.969279654,0.967978354,0.964084354,0.962509832,0.964838176,0.959447848,0.956524017,0.958898476,0.964909944,0.950585991,0.947855485,0.953278593,0.953418783,0.954225118,0.966961987,0.96364911,0.97063013,0.969837955,0.96310995,0.962961715,0.962181817,0.962363089,0.962511259,0.96407148,0.968945238,0.97944207,0.977953032,0.966894435,0.961504674,0.962091065,0.954810135,0.939363148,0.934801344,0.927885735,0.935448604,0.939198846,0.949254583,0.933451481,0.92449034,0.927804369,0.932374527,0.938439773,0.929204425,0.915375084,0.902457786,0.908007875,0.918324365,0.907744634,0.897570476,0.888992985,0.885273407,0.895447632,0.898549782,0.887229547,0.888243277,0.893296535,0.8814298,0.8812236,0.891782062,0.880246638,0.870103893,0.87545806,0.884790158,0.881806735,0.875922118,0.876463433,0.878168176,0.874539235,0.861445577,0.847660347,0.833632367
DemandDETT,1,1.006292494,1.005391559,1.010070209,1.00147141,0.994401694,1.000418871,1.006501554,0.993710728,0.98673116,0.977252241,0.972695432,0.955614489,0.958825432,0.962861853,0.971921822,0.964640296,0.960464655,0.959251638,0.961097178,0.955896741,0.954191425,0.962346697,0.977379328,0.979633509,0.990662352,0.988581216,0.994630472,1.001731742,1.011201172,1.014011612,1.016860663,1.014802762,1.010403074,1.000869106,0.989436085,0.993385228,0.974375746,0.976276393,0.991383213,0.9780837,0.977121571,0.990053765,0.990930297,0.990031428,0.985980698,0.978173557,0.967462542,0.96054077,0.958341676,0.948339622,0.956140993,0.951666112,0.948876375,0.947287129,0.944594258,0.935890118,0.949888161,0.956143971,0.958016363,0.945151901,0.952634336,0.953991212,0.951682528,0.945915159,0.948545268,0.940671402,0.939885251,0.927774235,0.930670434,0.918476966,0.92515592,0.927036808,0.9281014,0.928955832,0.926452711,0.923801359,0.912835245,0.915520658,0.931911269,0.917613517,0.908983352,0.908438465,0.910198066,0.900312327,0.890031143,0.887183207,0.893500075,0.892839804,0.891888503,0.906312106,0.913007386,0.926560522,0.931610527,0.933493668,0.919187424,0.916691628,0.907179134,0.901584814,0.899366484,0.908967191,0.918927002,0.915711845,0.907777785,0.909316058,0.900277471,0.885176614,0.885093057,0.893976981,0.897119939
DemandDETT,1,0.994034759,0.99307936,1.002862658,0.994949671,1.009293067,1.012684577,1.01190164,1.017349308,1.018705862,1.012879322,1.02471541,1.032747147,1.021979149,1.018011194,1.020103578,1.027593271,1.021607874,1.035748685,1.026628076,1.022713566,1.02674315,1.039157135,1.037342033,1.036997598,1.032048033,1.04175971,1.03642218,1.027792578,1.007366499,1.005695979,1.018420457,1.037583093,1.043066405,1.043002549,1.029317225,1.038018827,1.032647186,1.040439609,1.04002165,1.045982418,1.04842002,1.066275903,1.060210811,1.063928229,1.071944964,1.06256521,1.04978925,1.050258394,1.050462175,1.039950922,1.053921289,1.057611731,1.059355573,1.05187119,1.036227739,1.025340392,1.02127829,1.026969387,1.02586213,1.036143646,1.037912231,1.055581435,1.056259678,1.066214286,1.052950584,1.050351904,1.043902086,1.04221394,1.052673769,1.061247892,1.05981514,1.060446741,1.067727031,1.060042648,1.06602297,1.074656812,1.087750392,1.082068585,1.06980819,1.06024315,1.042960697,1.027189203,1.02541745,1.021764498,1.037774011,1.036693935,1.051093222,1.053747171,1.07041302,1.080973295,1.090804476,1.095754444,1.112969853,1.11864573,1.111522597,1.120864577,1.120679016,1.14236353,1.143353608,1.144673849,1.153950751,1.148986942,1.143305805,1.147728146,1.162765545,1.146681722,1.151820635,1.156383047,1.158586811
DemandDETT,1,1.004023355,0.995098134,1.00792057,1.021299535,1.036787342,1.033329533,1.03473802,1.030059991,1.026164168,1.009363795,1.023619032,1.030480372,1.027093914,1.013722703,1.002996065,1.009233629,1.008312858,1.009795317,1.010501978,1.017730339,1.015903412,1.022014213,1.020633549,1.017638708,1.015987004,1.021889263,1.024043449,1.00873281,1.004582054,1.012574382,1.009215793,1.007689633,1.016109939,1.031041643,1.02778355,1.031266514,1.020431467,1.028462683,1.022129489,1.011816905,0.999398342,0.989764928,0.982578609,0.987113221,0.979859476,0.969939182,0.970730603,0.972669081,0.971439869,0.975466122,0.970077949,0.978554715,0.964685658,0.96493107,0.963663055,0.962183708,0.974786391,0.986948367,0.99245888,1.004468458,1.006706981,1.005528223,1.021266126,1.024025679,1.021697376,1.034825372,1.043627089,1.056141826,1.05698531,1.064499886,1.066022168,1.046595228,1.059816192,1.060284257,1.053351839,1.051896301,1.056650672,1.052383839,1.06469657,1.049283223,1.049574112,1.058147147,1.064482046,1.076025191,1.08263732,1.079325321,1.078524796,1.08425422,1.09115518,1.097397321,1.08970775,1.088204621,1.082509938,1.084245049,1.087606253,1.093704585,1.113225936,1.122106068,1.116499188,1.098806575,1.100591369,1.094574029,1.092399617,1.093777794,1.102820797,1.119240643,1.125400714,1.121601818,1.142038757
DemandDETT,1,1.004578312,1.008848945,0.990682489,0.99981585,0.997911596,0.996200569,0.998192368,1.011282165,1.012545749,1.020786367,1.030078165,1.033466078,1.027566145,1.016358583,1.019388154,1.018727115,1.009141098,0.996734298,0.997233721,1.007362912,0.997695607,0.999505074,0.990414391,0.999407867,0.997012499,0.993402222,0.983617952,0.990978259,0.983749793,0.997043439,0.990920182,0.988142045,0.979688976,0.979900598,0.982856928,0.985665905,0.972777927,0.970586127,0.968778921,0.967626661,0.971529659,0.972352149,0.97478141,0.985188532,0.994129467,0.993270923,0.996272332,1.005207965,1.003677311,1.00425884,0.992540716,0.998159923,0.997884953,1.006659953,0.998644949,0.995268435,1.006714612,1.01279445,1.019514864,1.020585693,1.011324962,1.002969698,0.993517519,0.983744696,0.994069643,0.997001387,1.006863918,1.012391336,1.006153518,1.006107152,1.021335487,1.021567737,1.027208179,1.041725302,1.025859973,1.010848937,0.995979967,1.009505446,1.003879812,1.00561364,0.992462348,1.000122231,0.993097093,0.979437127,0.986656954,0.993686037,1.0013007,0.992701595,0.986025433,0.974950013,0.983943942,0.994080878,0.985333028,0.987517168,0.992310488,0.978013865,0.976915301,0.987429312,1.003872137,1.013744992,1.021525286,1.018658992,1.002411503,1.013917747,1.010814575,1.020032515,1.007752051,1.00616215,0.992341211
DemandDETT,1,0.997505343,0.996105526,1.003985883,0.992966276,1.003347777,1.008321787,1.012041283,1.021369522,1.015795938,1.00166765,1.001966752,1.012917972,1.026399516,1.041725559,1.045472629,1.044305698,1.033887509,1.0248146,1.026869162,1.020752768,1.028292759,1.017298403,1.014942223,1.012416477,1.026550504,1.025341174,1.016514351,1.021083672,1.012501193,1.005173423,1.00068311,0.997870551,0.995747634,1.001517051,1.008349233,1.010854447,1.016655499,1.011008623,1.017953004,1.011096733,1.007993342,0.999534774,1.000693037,1.012117876,1.006155132,0.996267126,1.011345939,1.008820247,0.992409818,0.984403433,0.998114891,1.007851477,1.005337895,1.012658898,1.000920359,0.98709674,0.971590261,0.967954527,0.951827069,0.941764783,0.954937489,0.95972187,0.95802588,0.974715931,0.968738716,0.97544248,0.967447054,0.965727207,0.97726454,0.981944451,0.988755965,0.98915455,0.999083777,1.00061092,1.00270741,1.011415384,1.012414536,1.015638864,1.003586687,0.993738715,1.010767199,1.022718444,1.028311273,1.030254494,1.024152573,1.025895734,1.019583222,1.02301284,1.030498581,1.038027154,1.048547302,1.048990025,1.038537125,1.020233335,1.035720643,1.035756769,1.024307163,1.019598077,1.016620106,1.018959557,1.026867953,1.021187765,1.029397977,1.039745109,1.051752811,1.034695568,1.039386092,1.039054873,1.03649726
