YEAR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120
DemandDE,1,1.010649504,1.029525655,1.062716755,1.044199472,1.086269596,1.075418785,1.111613173,1.114099505,1.106328441,1.10616651,1.109314179,1.118511104,1.126360176,1.146805267,1.153771907,1.141407718,1.170495173,1.161108556,1.186055487,1.184362426,1.18077265,1.190391816,1.201806058,1.211385595,1.230039381,1.242019835,1.283199188,1.309464396,1.306207068,1.321118986,1.37815157,1.39804288,1.41260961,1.458055003,1.47551203,1.450146357,1.506658715,1.544099182,1.585191831,1.556844489,1.564774366,1.577452542,1.559987247,1.594346915,1.567720229,1.616139603,1.669776597,1.656099794,1.718861308,1.680050169,1.666949664,1.684976794,1.684976975,1.735290281,1.770828743,1.775727404,1.731442416,1.747491836,1.761249297,1.797011302,1.805590709,1.758053137,1.797803559,1.823810382,1.766758735,1.800218319,1.842559032,1.889625376,1.854681486,1.920922338,1.984864903,1.998694626,2.04358353,2.069594192,2.118400386,2.144469893,2.187565213,2.150547707,2.218871511,2.210220217,2.167271914,2.216447068,2.277611102,2.318726643,2.260107409,2.360877924,2.32375008,2.337318024,2.294260775,2.348356243,2.34506085,2.385885453,2.397613238,2.46300494,2.497532719,2.555852613,2.626143365,2.618150406,2.667113788,2.701466568,2.814315186,2.825084543,2.827883632,2.893815395,2.97776843,3.101734301,3.142827277,3.225203832,3.278991623
DemandDE,1,1.007665231,0.982296418,0.964806279,0.964706536,0.955450044,0.966389666,0.971681782,0.963205193,0.982978436,1.001511871,1.012782355,1.012128733,1.038459981,1.078847995,1.085809343,1.121255942,1.151793643,1.200366408,1.185186591,1.206466591,1.17852583,1.167128,1.134393362,1.17160177,1.20729422,1.198482655,1.195854921,1.184928887,1.20026101,1.219319258,1.231138101,1.264592492,1.265733971,1.281525696,1.283272155,1.29033695,1.300599993,1.328103088,1.352902071,1.412060816,1.441353527,1.447421782,1.41819152,1.471964289,1.482793462,1.458864052,1.420796691,1.43907778,1.506872552,1.52334742,1.557913148,1.584405966,1.581490138,1.557269003,1.505565532,1.573165746,1.607360033,1.670998062,1.630728197,1.631078491,1.652953923,1.620878999,1.633939127,1.697745826,1.65272016,1.67160749,1.699074256,1.756058922,1.752630667,1.711256206,1.737499592,1.731832278,1.753415745,1.838641294,1.825409051,1.819218349,1.859249485,1.910357234,1.957670755,1.992874421,1.995154943,2.016346485,2.045589463,2.014886085,2.038595627,2.01508554,2.036217183,2.080631869,2.059672592,2.079285214,2.067637664,2.15225229,2.198960068,2.125956366,2.077933788,2.166356737,2.191265979,2.226381616,2.234212562,2.281736759,2.346481829,2.421299651,2.452121988,2.384526409,2.436549293,2.468350813,2.442940389,2.511351705,2.608410716
DemandDE,1,1.032042087,1.053070248,1.082622116,1.111984081,1.124910764,1.153248974,1.184212161,1.172314802,1.17021511,1.177839338,1.201109114,1.219476142,1.236308808,1.256469154,1.260233151,1.227967223,1.242784729,1.238022468,1.235145171,1.228041372,1.255946424,1.271925637,1.299582365,1.291589661,1.262656365,1.260568247,1.287759602,1.314423651,1.353230419,1.338188505,1.309745914,1.27002286,1.261632742,1.26365205,1.287551441,1.266377682,1.303803477,1.310380919,1.31769912,1.376196069,1.413637293,1.441264346,1.462584148,1.479367195,1.531817515,1.549398163,1.559594024,1.626006665,1.683576684,1.741802092,1.760733107,1.80066607,1.748844092,1.776827559,1.828255863,1.832579117,1.833860865,1.848766725,1.930438667,1.925196491,1.936130627,1.898516952,1.912827261,1.89627954,1.917333601,1.986799175,2.049195784,2.044005894,2.088204828,2.116801861,2.134513383,2.155922617,2.232736163,2.243315047,2.294842462,2.380986608,2.420270582,2.390694608,2.390121023,2.395912794,2.372105173,2.429891366,2.424281129,2.446131629,2.393913116,2.435599835,2.444840822,2.422487931,2.400255717,2.476268666,2.457874522,2.521985604,2.538254856,2.60310349,2.672560078,2.753941312,2.782438656,2.692639482,2.704139532,2.688217643,2.745898747,2.786670056,2.81469616,2.928859217,2.853917379,2.899972375,2.894051688,2.955445568,3.035477164
DemandDE,1,1.032374749,1.046005265,1.058285766,1.091538965,1.096346138,1.088555364,1.101343208,1.119385101,1.147326917,1.142734505,1.187246581,1.184404629,1.192716086,1.228196109,1.210964148,1.194284814,1.192910468,1.188500862,1.224577218,1.263223426,1.250421752,1.262024307,1.268785239,1.266162254,1.286732487,1.311388507,1.299421466,1.279291367,1.29357881,1.319971626,1.362325905,1.314989067,1.333812444,1.356576281,1.382301715,1.424017215,1.467114538,1.52115353,1.556078817,1.607398828,1.629824828,1.642549235,1.583882965,1.557679958,1.522570892,1.586247011,1.610235919,1.619468351,1.677102936,1.643182899,1.671478676,1.619077064,1.668415616,1.662546973,1.725524175,1.696854828,1.747012334,1.774510959,1.802223171,1.839532851,1.846196156,1.900421937,1.872775906,1.923169844,2.001384922,1.98377853,1.920956049,1.90892256,1.922545129,1.929542326,1.879700279,1.914463086,1.965250075,1.966395149,1.984480123,2.010389449,2.050280332,2.021780741,2.044528366,2.101685486,2.140890775,2.182962407,2.205894616,2.231927154,2.192422116,2.239017549,2.292209011,2.313624634,2.361051642,2.311243472,2.364889846,2.387905034,2.402748031,2.422280181,2.460263134,2.523756989,2.620562813,2.637794963,2.629077669,2.67633701,2.665681719,2.737809083,2.808433186,2.862452751,2.967899703,3.042419442,2.99460191,3.014479881,3.104352142
DemandDE,1,0.99637747,1.013511889,1.018354984,1.016605546,1.057472832,1.065488042,1.053152253,1.053765543,1.057162377,1.067768438,1.06775036,1.060225215,1.079600118,1.092341183,1.084826603,1.13066866,1.133549005,1.109937902,1.105453409,1.134551939,1.166972005,1.184355101,1.219649607,1.256207976,1.25230549,1.297271482,1.309008128,1.324937314,1.333500666,1.354177867,1.359425671,1.338444315,1.313885881,1.317598025,1.371169353,1.392706352,1.378958079,1.367976567,1.377764007,1.389438482,1.391536449,1.402276888,1.426906793,1.423263434,1.429019282,1.45430498,1.49033509,1.45068241,1.457208587,1.491844436,1.510255009,1.531503657,1.589362714,1.594226706,1.636579556,1.652685327,1.642666797,1.661658732,1.678038288,1.69892387,1.719919984,1.747191623,1.786582059,1.845824434,1.860612607,1.828205819,1.82359703,1.848213952,1.833982253,1.778833787,1.77766786,1.764763944,1.814585611,1.852007288,1.912988613,1.853129272,1.829075605,1.865369163,1.90697974,1.955051642,1.92845005,1.876949596,1.830586728,1.875538379,1.939551225,1.904697276,1.872016175,1.847929724,1.84994597,1.913530797,1.951071382,1.910547784,1.938765378,1.984731763,1.93997238,1.961998313,2.031196511,1.987230771,1.951510073,1.999443687,2.06510687,2.071717426,2.060579081,2.088435999,2.123031335,2.125632553,2.068374301,2.007121398,1.944832016
DemandDE,1,1.024817704,1.034692296,1.057255614,1.046518038,1.039842142,1.065187407,1.091207356,1.068231597,1.061515953,1.04771986,1.04755957,1.012296836,1.031958001,1.053620316,1.085801945,1.077655213,1.07842598,1.087787027,1.105756954,1.10343873,1.111523147,1.143711865,1.19169619,1.212349129,1.253496454,1.261648706,1.292558106,1.326647965,1.367275277,1.392289173,1.417844902,1.427349555,1.428345186,1.410414568,1.385426898,1.413953051,1.360568652,1.383123155,1.440778722,1.407796488,1.42103798,1.474429053,1.495313022,1.509675231,1.511685293,1.498669037,1.473959806,1.4641925,1.472997278,1.45067523,1.491831494,1.491536325,1.498017739,1.509417774,1.516324754,1.498160802,1.559188813,1.598724558,1.625253343,1.587992726,1.632141253,1.657301528,1.666705244,1.660399616,1.69078005,1.674539966,1.690934088,1.654551388,1.685932772,1.648710782,1.692594105,1.720951936,1.746392517,1.771275147,1.780062212,1.788119251,1.7543608,1.787020633,1.869487441,1.817330256,1.794661949,1.813333824,1.843340484,1.813374401,1.781264249,1.787762587,1.834849006,1.853273866,1.870311626,1.950674198,2.003009139,2.084188568,2.132688552,2.16836655,2.107966146,2.118310307,2.086538469,2.078066946,2.089639728,2.158323719,2.230384686,2.23678886,2.213192632,2.248646102,2.217472418,2.147361578,2.172520657,2.241383714,2.285571237
DemandDE,1,0.996463373,1.00589433,1.037435124,1.028577155,1.069454776,1.090226487,1.101077374,1.126565057,1.143698863,1.140384075,1.179984421,1.212619263,1.194275401,1.196513696,1.216617158,1.249156723,1.245195116,1.293367379,1.279248143,1.281877148,1.308150582,1.354550139,1.364605571,1.379751152,1.379145396,1.421271549,1.419352968,1.405626495,1.349862541,1.360193205,1.409842454,1.477268055,1.511195379,1.529031221,1.495196737,1.538240767,1.535959169,1.577615394,1.594839551,1.632775818,1.661154829,1.735152667,1.730265416,1.76434622,1.812160699,1.792639717,1.758083088,1.781109062,1.803303079,1.777992565,1.845444089,1.881777473,1.911731864,1.899508302,1.848834889,1.820481683,1.823519519,1.866363171,1.883459676,1.943108519,1.974288342,2.06220806,2.09021054,2.154111144,2.110256599,2.121967418,2.113495909,2.129896736,2.197404372,2.259417628,2.278518649,2.309198985,2.368938021,2.352979167,2.408561025,2.476329931,2.564588869,2.560461444,2.515714772,2.487368714,2.411781761,2.345876951,2.363424625,2.369820345,2.469453561,2.492314639,2.588952943,2.634988384,2.746482975,2.832672918,2.917556157,2.980558798,3.106101788,3.176382027,3.16182756,3.25256574,3.290072407,3.450643897,3.499365783,3.551147821,3.651099845,3.653968505,3.650736209,3.725078626,3.864125936,3.771479378,3.852531443,3.931641468,3.996436457
DemandDE,1,1.020649028,1.009285166,1.046558078,1.085953909,1.130605268,1.134332459,1.151661016,1.1519094,1.154369021,1.119075098,1.162946477,1.192685215,1.196768363,1.170605208,1.152425893,1.180870715,1.192196657,1.210698505,1.227307074,1.259706743,1.26889973,1.299744362,1.310729436,1.31641538,1.326610557,1.358356579,1.381331491,1.344197524,1.34590587,1.383421015,1.388047194,1.399196891,1.439226097,1.497160755,1.502777503,1.532046444,1.508552088,1.550363907,1.544104732,1.522099266,1.491769858,1.472254694,1.462092971,1.493872983,1.483221233,1.461948993,1.482413738,1.507135572,1.520214798,1.551944438,1.548236153,1.59361621,1.553997297,1.57359967,1.587049846,1.599703621,1.65940491,1.719439771,1.759872374,1.822327258,1.853613103,1.870146267,1.948713116,1.984063125,1.99607532,2.069656932,2.129435399,2.204578047,2.235346756,2.294177801,2.329573304,2.247140859,2.329082343,2.359556436,2.34769876,2.36735243,2.418395093,2.421950864,2.506117646,2.44183528,2.472778053,2.542667233,2.604342373,2.690752326,2.756801312,2.767865739,2.795640043,2.859987103,2.931344829,3.001014688,2.982277994,3.007262839,3.002347568,3.049832811,3.107550542,3.180760016,3.32722783,3.420098146,3.41660826,3.31681286,3.369429771,3.361871746,3.384733646,3.435655046,3.533386892,3.676879166,3.76280331,3.774812194,3.951217281
DemandDE,1,1.02166855,1.043192605,1.006866212,1.037268054,1.044542639,1.052383856,1.069939759,1.109900613,1.126567516,1.158346925,1.19307437,1.216085803,1.212594932,1.192738162,1.215033763,1.227520371,1.212193737,1.187973737,1.203692398,1.242111593,1.2259998,1.245959547,1.231421121,1.268289415,1.275562406,1.278819739,1.261392513,1.295455917,1.286401262,1.335391356,1.330057351,1.336278796,1.322563578,1.339117755,1.364244219,1.389415876,1.358835714,1.367135083,1.376874521,1.389089307,1.417798741,1.437749495,1.463236636,1.511335254,1.556569738,1.571696154,1.601201222,1.648812749,1.662012108,1.684323704,1.653409715,1.692526708,1.711560551,1.76190187,1.746530508,1.752079552,1.812325843,1.856460567,1.903703545,1.931410118,1.908980154,1.890839111,1.867159669,1.841776224,1.901706187,1.937136676,1.998022383,2.044662105,2.036388498,2.060503004,2.145115651,2.172027586,2.222855283,2.310037666,2.246264901,2.187738063,2.130299899,2.211689792,2.206123678,2.241622195,2.192271093,2.252419633,2.238256218,2.185042139,2.243600805,2.302709674,2.365655553,2.341169635,2.328267041,2.288171775,2.357286212,2.433153772,2.406629025,2.447886014,2.50216754,2.438437275,2.46048857,2.541757411,2.653212491,2.736325136,2.811183241,2.824315942,2.741062228,2.835204341,2.846573268,2.932001527,2.875362704,2.897970576,2.829212125
DemandDE,1,1.005480214,1.013841384,1.04201745,1.024767277,1.058036129,1.08169911,1.103370313,1.136681975,1.13416297,1.106745659,1.120830001,1.15819493,1.201869268,1.250772382,1.275619331,1.287178501,1.269212876,1.255457188,1.276415346,1.271930619,1.306053825,1.285396325,1.293036828,1.300143424,1.350725595,1.362748206,1.348569553,1.377584915,1.36397989,1.354648195,1.355129628,1.361443543,1.370203415,1.402954037,1.439136446,1.464607318,1.4994656,1.495763211,1.534468152,1.525971138,1.532055442,1.516979692,1.539441684,1.592139677,1.586814511,1.565279671,1.629554746,1.638473625,1.58882582,1.574528348,1.635692957,1.686691717,1.695938026,1.741110668,1.709501055,1.668609334,1.620466419,1.624095303,1.573218876,1.548827433,1.60916028,1.645305057,1.657431429,1.73245111,1.725572302,1.77038659,1.753861496,1.766739892,1.828938491,1.869276123,1.917879729,1.942789455,2.00437357,2.035742253,2.070118834,2.130591206,2.161286968,2.202542295,2.160982964,2.131738779,2.227108687,2.305012079,2.358728304,2.397519303,2.389304957,2.427619133,2.417848249,2.464825242,2.53063726,2.598152603,2.680972309,2.715920963,2.678094713,2.58749878,2.693962434,2.726430037,2.680739189,2.680785541,2.692509267,2.739143479,2.81451368,2.807730967,2.886425574,2.977993628,3.080656881,2.987701541,3.052193318,3.08617522,3.103354136
