YEAR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120
DemandFlatDE,1,0.979218066,0.976704002,1.060364275,1.036683894,0.958930507,1.007060805,1.015562335,0.981694268,0.998598654,1.015082403,1.029666985,0.985414666,0.997867535,1.009754734,0.986944991,0.978476008,0.978836992,1.008656095,0.969272454,1.031653073,1.013366627,0.998375883,1.033964618,0.98943157,0.980632828,1.00553053,1.012607954,1.02521368,1.010160542,0.993285947,0.93003233,1.013087655,0.995154837,1.004120881,1.011422178,0.984570959,0.979709972,0.991901514,0.998722291,0.993926079,1.002692706,1.025723365,0.991183753,0.991284589,0.956934526,1.002694824,0.996019149,0.991038627,0.962512004,1.010182303,1.025065429,1.006724061,1.027160887,0.976522027,0.977476107,0.975111769,0.958597671,0.986099117,0.973882713,0.962069699,0.985529174,1.017779649,1.044566937,1.000146037,0.971419748,0.965046525,1.023111566,0.978896667,1.023631865,0.981244326,1.020665681,1.005108182,0.990609856,0.968153994,1.021197767,0.983375848,1.004812208,1.015428979,1.005851343,0.981747563,0.96883652,0.96292333,1.031206111,0.986415951,0.994757931,1.002491588,1.005057772,0.98024233,1.008443056,0.962165683,1.015846411,0.986753237,1.014648076,1.003531778,0.982420812,0.980716554,0.976355624,1.0049321,1.015119455,0.975407376,0.996956066,0.994176008,0.946485082,0.994179625,1.039970612,1.037409746,1.004166622,0.975586173,1.016845104
DemandFlatDE,1,1.017170726,1.014722928,0.978756522,1.005636516,0.941228399,1.010002728,0.965047597,1.017686175,1.049484403,0.995076807,0.970027778,0.986675525,1.019638,0.947481246,0.996067757,1.01141777,0.959363201,0.97800818,1.007529041,1.010645713,0.960944868,1.058623986,0.983957663,0.98098147,0.995920839,0.974163358,0.979219889,1.00383528,0.992892114,1.020200255,0.970500842,0.999262727,1.01504958,1.002942362,0.985785479,1.020110483,0.99314697,0.995279008,1.010383688,0.997443794,0.988194619,0.94832975,1.013389724,1.029597143,1.009200129,0.98361618,0.990846129,1.017831777,0.974125028,1.028247259,0.970736212,1.006427576,0.992565845,0.981031961,1.0007684,1.010446063,0.974222226,0.965175926,0.987783344,1.038647437,1.004983877,1.021420623,0.948151471,0.958133124,0.958978069,1.007050427,1.025685257,1.003034649,1.001220493,1.006413286,1.015587404,1.022194302,1.007938925,1.013453458,0.966392018,1.027290108,0.971617435,0.976132235,1.007316435,1.011448297,1.041778928,1.00512067,1.025865002,0.967541226,0.97992798,1.0272128,1.015935829,0.996406918,0.990918541,1.002378095,0.991344674,1.026273438,0.998721766,1.020059969,1.032053924,0.94891825,1.018583185,1.00822905,1.018527952,1.018410178,0.990817801,1.003389894,0.995435202,1.013526967,1.006757898,1.007618511,0.998618322,1.020456874,1.002520405
DemandFlatDE,1,1.029728656,0.981644195,0.980938015,1.02177695,0.969441001,0.975177964,0.979605406,1.005725519,1.022723166,0.984978271,0.982317037,1.010362245,0.963976512,1.007186566,0.985328405,0.977791644,1.015523233,0.990908795,0.985371094,0.988773671,1.011534177,0.984839911,0.978073804,1.015210631,0.977653381,1.021809139,0.95220627,1.020727867,0.996911498,0.99247258,0.980289186,0.984719875,0.980290905,1.009397026,0.959485984,0.985758826,1.032369139,0.983650077,0.963430062,1.022688549,0.994911256,1.014618933,0.99687321,1.003478126,0.990844707,0.996309026,1.011005391,0.984326811,0.992233729,1.043209959,1.001340083,1.003194463,1.00821655,0.981870691,0.993433246,1.020656842,0.986415918,0.990978283,0.996999586,1.048885875,0.986183152,1.038584951,1.029242132,0.969298205,1.013301103,0.946101508,1.054648685,1.039390509,1.01815133,0.985136665,1.00987468,0.95647762,1.015011739,0.977540719,1.015213317,0.982715067,1.021309749,0.979910636,0.986566754,1.004362037,0.972634072,1.039833053,1.031174767,0.986038344,0.979912816,0.991087248,0.98980131,1.018439402,1.031527413,0.998294783,1.024738705,1.002715375,1.002519965,0.965580344,0.997871366,1.002603553,1.01368793,0.994489909,0.998636382,0.988702063,1.034946511,1.014131312,1.031576935,1.000403924,1.015319775,0.985833215,0.983983196,1.031662812,1.011151672
DemandFlatDE,1,1.008588563,0.985960655,1.030320059,0.977764135,0.965211951,1.011296786,1.002242676,1.025612933,1.009323321,0.981209821,1.009434293,0.997791201,1.018010163,1.010427686,1.000178279,0.975264206,0.995280374,0.987816534,1.001649049,0.995573846,0.971674454,0.987909436,0.984458102,0.972204159,0.976931647,0.988869714,0.992892459,0.968414594,1.049785397,1.004397383,1.018722378,1.018959405,0.985295778,0.983445786,1.015947688,1.015279478,1.033531236,0.963025162,0.965363732,1.000798511,0.981693755,0.977257552,1.01098772,1.000918124,1.006927172,1.000414394,0.969299932,1.045125623,0.94683746,1.035889505,1.002884747,0.994920674,1.018957666,1.026111315,1.012677487,1.018462756,1.00829038,1.00385267,0.988561369,0.998062295,1.004337764,1.033190605,1.040184007,0.970765725,0.983135549,0.996935644,1.04590206,1.022286356,0.994390875,1.002477533,0.994208646,0.989356035,0.970216435,0.994109393,1.022692077,0.979895678,1.003837617,0.984798207,1.033343575,0.981516793,1.002336835,1.028584207,0.980952475,0.995058489,1.016927948,1.005037874,0.991013878,0.993952805,0.993947619,1.041134333,1.012178868,1.004369931,1.010123957,1.034460479,1.025109193,1.031004047,0.972214823,1.017544652,1.033152306,0.948946726,0.961155395,0.970370921,1.00011313,0.989591005,1.007579474,0.961854854,1.009287194,1.035321189,1.021840025
DemandFlatDE,1,1.013932174,0.981243647,0.985652306,0.978454788,1.001171353,0.980395928,1.001703589,0.962825724,1.052912081,0.977555904,1.047702573,0.976069455,1.002423523,0.972317969,1.003935216,0.995015575,0.976470899,0.964304659,0.983992345,0.981059998,1.025330566,1.00527963,1.013636012,0.988296133,0.992150435,1.028544547,0.970067002,0.999922116,0.99723917,0.984481866,1.02369563,1.015912036,1.018010309,1.02154834,0.996521804,0.966671824,0.98836132,1.058364257,1.016108542,1.013361473,1.02384789,1.018492194,1.011969693,0.990800963,0.986970607,1.028335169,1.016801476,0.986047405,0.991215844,0.97162555,0.999189855,0.990291851,0.991275007,1.022215483,0.998564021,0.974847962,0.994054248,1.022110727,1.019282286,1.027681571,1.042712807,1.02360622,1.028454058,0.98184434,0.965492098,1.020321308,1.009217984,1.015380657,0.999104995,1.069410514,1.073018266,0.993171061,1.013656727,0.990164065,0.945941852,1.001842792,0.996323849,1.027652521,1.006043102,0.97309697,0.987118598,0.999180341,1.011788046,0.995539263,1.024377377,0.979832219,1.010012587,1.020598852,1.010894903,0.964116221,0.994881796,0.998068736,1.023160885,0.999634964,0.995723151,1.003910655,0.999273434,0.981258877,1.002494571,0.996084143,1.005735542,1.031795687,0.991213649,0.997885361,0.971997613,1.055185365,1.001142675,1.013427361,0.964958271
DemandFlatDE,1,0.944877569,0.999111157,0.988032194,0.977876625,0.996539881,1.006914011,1.000703083,1.000157961,0.970640852,0.969316727,1.026407396,0.987812756,0.998001274,1.063598223,0.972105007,1.004394501,1.008153934,1.003778862,0.995329755,0.998816625,1.056653419,0.986400981,0.958783542,0.991087842,0.998759901,0.974224054,1.034535657,1.011970469,1.036523401,0.97005946,1.004085217,1.035794477,0.992392628,0.997182839,0.997454047,1.004113959,1.00934563,1.022288847,1.010064139,0.95016433,1.008436163,0.98180872,0.985172206,0.996742941,1.010994586,0.974418024,0.994154192,0.997745762,1.001279065,1.018378828,1.026642563,0.981071123,1.06152685,0.949492533,1.00347905,0.977831447,0.974639065,0.981537537,1.004901383,0.995068699,1.000673451,1.019608512,0.988221506,1.025116668,0.974585796,1.025081574,0.96668757,0.981804131,0.977820032,1.033587606,1.047443391,0.975572383,0.979816971,1.05064822,1.049686604,1.001684574,1.033816999,0.974058712,0.995098868,0.990407863,0.993118127,0.98478588,1.056473419,1.018055356,1.019430308,1.014600113,1.019517,1.000340377,1.036259862,0.976652976,1.003793338,1.007904907,0.982512239,1.020836357,0.988836239,0.997501012,0.986901593,1.022530989,0.99038151,1.053032615,1.032859771,0.990399299,0.980641665,0.998677143,0.969156533,1.025923562,0.989957036,1.029217725,0.998152767
DemandFlatDE,1,1.011600242,1.064489301,0.974269165,1.002939545,1.002573126,1.015489847,1.006136262,1.020930162,1.042651577,1.034861854,0.993250869,0.993270377,1.041627781,1.000320817,1.063575009,1.001034048,1.018899005,0.977638187,0.983116471,0.991751818,1.002654433,1.006374297,0.969491041,1.033147749,1.021139516,1.017612235,1.011762307,0.992639182,0.984509957,1.007570977,0.988123852,1.038655299,1.015792135,1.039077569,0.998325895,1.008050755,0.996764546,1.005709581,1.025643405,0.990696685,0.973246784,1.045504235,0.993573066,1.0018044,0.976973628,1.026659644,1.002978245,1.052633154,1.00679178,0.995847021,1.012776886,0.998920098,1.006026735,0.964329726,1.003501806,0.992964668,0.981829189,0.992456364,0.954207904,1.039962362,1.024994777,1.011754923,1.014545498,1.002674709,0.973833982,0.980221378,1.01702263,0.991736553,1.01462762,1.001613986,0.979231453,0.967935815,0.95374172,1.019319518,0.978829272,1.002423056,0.99601699,0.984651875,1.000972979,1.002248906,1.038327941,0.960008457,0.988500465,0.977763091,1.01640187,1.015014669,1.009320413,0.990487143,1.004324703,1.034477329,1.043901074,1.03003017,0.994035641,0.997961666,1.016180871,0.978091524,1.030610391,1.013398882,0.990866963,1.033786725,0.967580461,0.966860764,0.972518574,1.039030025,1.022317463,1.014496254,0.977007947,0.969547848,1.043329315
DemandFlatDE,1,1.006126552,0.993665587,1.026672482,1.018870273,1.01030673,0.999433379,1.054615066,1.041145917,1.02907238,0.979593292,1.000454111,0.990395738,0.992662428,0.990096657,1.000195453,0.990443059,0.985785326,1.015412311,0.961324263,1.011175253,0.967628723,1.012333198,1.030371911,0.991357466,0.979839776,1.033871433,1.01038783,0.999596104,0.991248563,0.99215664,1.005037749,1.005830438,0.99290719,1.007082379,1.01687122,0.964928801,1.019232963,0.983388807,0.9697017,0.988978045,0.997585844,1.019073547,1.003550526,0.953378613,0.995468312,0.994458045,0.995383392,1.034993788,0.996512052,0.983297456,0.986248751,1.006845142,1.008388336,1.015720719,1.009416286,1.026104046,1.002752314,0.977857884,1.015206315,1.000337273,1.025121796,0.986837125,1.024344206,1.003103735,1.004634919,0.991361252,1.012158959,1.006393246,0.989952361,0.943369866,0.976383386,1.002758052,0.989838498,0.997092612,1.01430125,0.983281824,1.016657529,0.988059057,1.019287234,1.00521155,0.966097144,0.962380147,1.004658756,1.032863975,1.001321141,1.010164939,1.033043105,0.984158447,1.013134195,0.989642454,0.976994994,0.984495119,1.00842038,1.037308414,1.02452232,1.021353085,1.047622338,0.989792703,1.005974818,0.998553077,1.022080162,0.95527757,0.983531722,1.035262731,0.996837039,1.020792885,1.001491536,0.961708488,0.989425902
DemandFlatDE,1,1.015161148,1.04049765,1.038569717,0.939097803,1.002560212,1.023124166,1.042111436,0.961748905,1.004940726,1.008433763,0.97578052,0.981500894,0.985235368,0.992554477,1.019523342,0.984851022,0.956425812,0.997685117,0.998564023,1.017881286,1.001020875,0.990325096,1.032391548,0.990654436,0.977037543,1.034420424,1.026927263,1.007755093,0.995746321,0.99418073,1.046119436,1.015755027,1.018716751,0.964604541,0.966126375,0.987338102,1.000171085,1.037700107,1.016859573,1.002814977,0.981743838,1.019439478,0.999866607,0.991312929,1.017340396,0.962994375,0.998689475,0.987694863,0.992916517,0.987307498,1.030856115,1.022622498,0.988548077,1.000652841,1.02230231,1.002022616,1.015118364,0.972718149,1.031465579,0.994611142,0.992679994,1.02309943,0.979969774,1.02114447,0.969508123,1.001758138,1.031595068,0.992162487,0.967184218,1.019677303,1.0040279,1.007245342,1.005583553,0.958896697,1.028308569,0.975113564,0.974086882,1.0397164,0.986906238,0.995294931,0.987578057,1.01225192,0.969214321,0.991803269,0.987966004,1.013829033,1.01537091,1.011917895,0.972140511,1.003418527,1.007863093,0.966198914,0.983392092,0.981015233,1.007092265,1.006481007,0.996293244,1.015305142,0.999489658,0.973992436,0.987907933,1.02556814,1.004961247,0.976784369,0.999540745,1.016818561,0.96602532,0.992361203,0.996791865
DemandFlatDE,1,1.000922456,1.01928951,1.018410102,1.015413943,1.017249478,1.006347137,0.974258975,0.996308805,1.004095769,0.987921602,1.028694962,1.044089976,1.008700815,0.980954538,0.994258448,0.987368251,0.972007605,0.984910648,1.02482085,0.972895785,0.990341079,1.019993683,0.999772835,1.026988363,0.991885657,0.960078945,1.006671865,0.980795854,1.01080942,0.995407772,0.955413007,0.973572202,1.008655769,1.03214779,0.994485356,0.995671231,1.033583273,1.012156678,0.962857281,0.978826139,0.995537309,0.999497732,0.990346156,1.004579745,0.988984592,1.040414856,0.989699906,0.987938074,0.960587193,0.985559609,1.033069855,0.982884463,1.037024829,1.001583672,0.979258947,1.020054556,0.977298861,0.9381897,1.029711654,0.996266101,0.966606248,0.980654599,1.010626101,0.991694391,0.960770372,0.954782232,1.028792476,1.006045965,0.991747363,0.988788026,1.035580056,1.041958291,1.03560637,0.979644014,1.015733788,1.022825108,0.999412061,0.982937934,0.999281519,0.981781001,0.998931604,1.03280187,0.98661369,0.985689298,0.991660992,1.001245788,1.01159416,1.000484555,0.974494712,0.99976196,1.017531704,0.962154451,0.980692389,1.016297573,1.002530805,1.005163816,0.990274257,0.966977926,1.050532865,1.014767619,1.020945376,1.000905624,1.016606868,0.996638789,0.979923031,0.979948701,1.002789949,1.004582178,1.012509519
