YEAR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120
Biomass,4.5,4.507928454,4.573488195,4.776056898,4.719253151,4.921954516,5.168256954,5.274623891,5.371277635,5.2160033,5.156071208,5.082102276,5.196600188,5.210051412,5.362664205,5.415549702,5.550448724,5.896608678,5.910225177,6.087355105,6.381482074,6.311810966,6.437545865,6.309223287,6.270505457,6.287598283,6.03495554,6.049867194,6.2880476,6.284920266,6.340950309,6.444341097,6.506279069,6.419202164,6.642237609,6.782672193,6.996394819,6.841621981,7.015389884,7.04637467,7.286619082,7.429364058,7.655712048,7.757313761,7.848931441,8.092687856,7.792941896,7.860100575,8.065237466,8.25045208,8.321750877,8.641209774,8.694466828,8.624759984,8.388084248,8.193154378,8.174470372,8.265441368,8.436278445,8.471051729,8.851860872,8.816255588,8.882302617,8.872716562,9.048954104,8.986527954,9.064698177,9.327401664,9.090754289,9.454735222,9.449154733,9.789320207,9.788940344,9.779369059,9.863118479,10.27875164,10.67702148,10.70894422,11.02977224,11.61612645,11.68515372,11.97148566,12.0153642,11.99613657,12.33417908,12.18865905,12.48598653,12.23127701,12.13393869,11.91700222,11.81614998,11.46874585,11.6895235,12.15888936,12.52490175,12.92317125,13.01691092,13.07337674,13.5060835,13.73118035,14.00773071,14.01373118,13.93121905,14.80529525,15.08112199,14.91794929,14.6273502,14.75420435,15.44203292,15.69298628
Biomass,4.5,4.617251039,4.620389465,4.646896532,4.566351188,4.382343365,4.490788844,4.388653387,4.417993783,4.502357395,4.783008991,4.829571725,4.873296282,4.801844741,4.93622271,4.971599825,5.024666544,4.967669228,4.920849435,4.999816704,5.073186097,4.939028439,4.771084827,4.863101726,5.093267862,5.175812195,5.247096858,5.307871533,5.624436888,5.683270044,5.80949299,5.904988601,5.854625711,5.814309242,5.964625716,6.006875308,5.919831678,6.081409641,5.944540438,6.175013748,6.282001688,6.367019954,6.358448962,6.403712882,6.46791948,6.37792829,6.453219644,6.280793353,6.247628258,6.179738862,6.150585033,6.412088655,6.454936788,6.6498703,6.92040057,6.951811748,6.753227056,6.74747221,6.918857007,6.914037692,7.041359288,7.295722199,7.571612452,7.594954444,7.612732469,7.936752652,8.090681226,8.307699405,8.446365888,8.814491126,8.779123647,8.665951362,9.024783386,9.116842538,9.483776575,9.359614152,9.624180713,9.869234354,10.3614218,10.49539864,10.75193722,10.78329126,10.53473319,11.03114581,10.97773655,11.15014936,10.90694883,11.30082816,11.27649784,11.61997159,11.54893742,11.42971508,11.55562961,11.48635417,11.32688502,11.45289795,11.61201638,11.38552102,11.30540474,11.58730353,12.20526848,11.92273733,12.26504886,12.88620395,13.32257884,13.28412646,13.54675694,14.24677263,14.98401875,14.97616344
Biomass,4.5,4.430316398,4.422174937,4.469096953,4.677369572,4.727236063,4.694467985,4.545605672,4.567653623,4.739296693,4.739299578,4.648131408,4.657083528,4.74317066,4.757380855,4.86550472,4.97600654,5.042634239,5.070960757,5.106927919,5.091465374,5.167335526,5.397781012,5.300852683,5.325585072,5.266844177,5.296132052,5.195023727,5.234277384,5.49459914,5.651756076,5.923162553,5.971816193,6.070802663,6.126001547,5.991164464,5.944631579,6.003547667,6.014435189,6.305024995,6.37726073,6.36313746,6.329645156,6.525158488,6.679904829,6.576167661,6.389028655,6.567760295,6.68415047,6.583501427,6.393663667,6.253118427,6.268280874,6.173722184,6.151319654,6.072588439,6.030265549,5.946583387,5.997860906,6.174025729,5.952653037,6.022070827,6.266839263,6.278289887,6.081041114,5.969107941,5.957836945,5.858867951,5.746701045,5.688759635,5.633991311,5.525595282,5.848724256,5.840086733,5.900927733,6.031387277,5.890983256,5.768799312,5.590294795,5.855446579,5.981518511,5.838762514,5.894546696,5.939622123,5.951361928,6.320314531,6.229511853,6.437262334,6.258302931,6.281432323,6.167603385,6.089319546,6.30976844,6.46810082,6.428403447,6.490754753,6.32499792,6.328017388,6.67675772,6.797064067,6.938850201,6.921040809,6.949043026,7.398545993,7.677457773,8.074474343,8.342858257,8.596467585,8.544177194,8.788690425
Biomass,4.5,4.481900191,4.498134013,4.64756908,4.524728616,4.530033518,4.559254773,4.484441043,4.552396696,4.804339262,5.098869785,5.025667544,5.088907748,5.102149938,5.212933741,5.181828764,5.223935186,5.146466581,5.15448162,5.286104449,5.334541604,5.182150286,5.340795967,5.366863984,5.679802681,5.652145036,5.860740053,5.710315759,5.94676906,5.996076812,5.864326536,5.85837851,6.068026195,6.035541621,6.128921075,6.347809554,6.174096942,6.32066964,6.468783396,6.519222511,6.558913877,6.649783767,6.964372631,6.899849253,6.830596991,6.864784403,6.85794412,7.124038327,7.022295318,7.089693732,7.129560234,7.229291311,7.375643134,7.800286847,7.729185042,7.664564776,7.907942993,8.186197662,8.010912183,8.441476289,8.294330987,8.14634057,8.527570969,8.616459228,8.473344385,8.474002657,8.64780201,8.625135341,8.627829058,8.477933548,8.651232122,8.534470558,8.977205215,9.362148361,9.829000495,10.07862773,10.0951451,10.40095378,9.974095659,10.46550868,11.12788517,11.13598533,11.44081504,11.79989438,12.08285909,12.18594439,12.30388495,12.26814721,12.5520253,12.98231403,13.05950828,13.20173375,13.47556806,13.23443713,13.23182601,13.28542657,12.95041927,13.5716035,14.05865998,14.62855304,15.33782693,14.92126866,14.95441382,15.13860162,14.79801363,15.27470378,15.68259315,15.20234703,15.337959,16.04469844
Biomass,4.5,4.482036239,4.527085414,4.604011374,4.574631911,4.598389745,4.604706598,4.833348477,4.735939273,4.605488697,4.854053182,4.885339049,4.893316545,4.819969481,4.674178654,4.769368083,4.84037869,5.132559591,5.217705554,5.069653013,4.98937047,5.031806345,4.798987033,4.829596119,4.797449869,5.032248749,5.156883785,5.075749641,5.119166859,5.235758541,5.275581451,5.550066638,5.686076139,5.705829379,5.586653841,5.539610236,5.753801238,5.788479673,5.845623235,5.979505956,6.149670261,6.047891959,6.272131027,6.588446325,6.690982626,6.758797082,6.670696544,6.361420848,6.617855952,6.492607279,6.251056114,6.557772918,6.531058931,6.429154602,6.452334246,6.500877817,6.53924533,6.611369416,6.854191335,6.648082012,6.736792679,6.889210647,7.029623783,7.175604832,7.235235964,7.634533712,7.663642762,7.947869022,8.171531828,8.269500668,8.5994383,8.668176634,8.301080701,8.514644569,8.726041813,8.610292014,8.778357648,8.888736433,8.881053216,9.049266139,9.365376689,9.59225008,9.593166466,9.405108956,9.432006279,9.877759982,10.19850591,10.48730795,11.03742753,11.73698329,11.93379134,11.51066177,11.50165985,11.4408359,11.2011346,10.83866648,10.85639371,10.84824715,10.68942402,10.8798604,10.91816601,11.48739186,11.71761271,11.70180986,11.55759293,11.31277751,12.04369979,12.07088223,12.23797117,12.55776981
Biomass,4.5,4.565244968,4.377677394,4.57041901,4.704624268,4.716286486,4.603198093,4.460074647,4.612236427,4.773410241,4.869551333,4.776665006,4.77479629,4.899042774,5.115403823,5.234237459,5.190823437,5.291419362,5.264750604,5.54133566,5.451402899,5.478016987,5.437461049,5.307338959,5.491929439,5.55529556,5.672455097,5.696381949,5.903358255,6.059854889,6.060291834,6.368311777,6.49289387,6.271728861,6.372682686,6.402529404,6.233054148,6.306025891,6.643599083,6.804415406,6.894909035,6.838539606,7.043858788,7.184311812,7.436047084,7.582511846,7.649068841,7.723288611,7.741036866,7.794850165,8.055429608,8.436893063,8.289975096,8.518434072,9.001950208,9.510812624,9.51313748,9.544132947,10.03286549,9.809237224,10.28328637,10.28250086,10.4060714,10.53484289,10.79482789,10.83857581,10.65613411,10.65074424,10.8440899,10.52228557,10.91497557,10.79631438,10.93036551,10.72649469,10.70894088,10.89921028,10.82216395,11.02483339,11.12553507,11.66959583,12.11267799,12.13297327,12.10340703,12.52537778,12.6135232,12.58438444,12.28911919,11.94031404,12.21153376,12.46934377,13.01530497,12.97114113,13.59382155,13.43253077,13.8534581,13.71791811,13.23615999,13.74552008,14.0532081,14.74993717,15.06986379,15.61827792,15.63460607,15.68387154,15.90672155,15.52773319,15.33135368,15.56959864,16.00089861,16.6262566
Biomass,4.5,4.643731676,4.506697821,4.587503865,4.590594206,4.661888747,4.872070623,4.813091167,4.82055144,4.923517901,5.06700008,5.124510966,5.302929872,5.364700603,5.418912952,5.445948785,5.451797423,5.341730393,5.322143197,5.293577229,5.448816469,5.612478939,5.512439798,5.572739911,5.66273728,5.721355738,5.736945983,5.767860573,5.532541293,5.786484795,5.635549004,5.694407235,5.88811483,5.983660313,6.01514724,6.097379795,6.286592528,6.190720849,6.533774271,6.588583138,6.901599572,7.200393959,7.399474162,7.560363475,7.708986134,7.500571384,7.539749645,7.629313427,8.00840845,8.204461962,8.413360802,8.482183081,8.307691221,8.560923696,8.613719017,8.663125868,8.35186586,8.205579079,8.247924295,8.487555718,8.112899658,8.247380051,8.60965601,8.816658801,8.759149562,9.085469513,9.076473008,9.211684184,9.265303953,8.980618044,9.213154319,9.332588182,9.590890043,9.294717837,9.524281643,9.489011982,9.443254309,9.773783767,9.528861192,9.219412955,9.22041989,9.33656339,9.495031203,9.439985704,9.330863044,9.353434393,9.431350869,9.766982134,9.567477347,9.774963711,9.870766003,10.2998394,10.43537497,10.23109994,10.29671597,10.16501534,10.22557729,10.12599197,10.66533885,10.73809198,11.05962363,10.87992438,11.30459641,11.17488684,11.01614065,10.84490581,10.99730961,11.27971627,11.73215113,12.01585093
Biomass,4.5,4.653126046,4.471358845,4.760693727,4.849854822,4.876737475,4.702627565,4.833630218,4.779289428,5.104375871,5.329775212,5.460354601,5.60224421,5.648888051,5.866579009,5.775709846,5.878070862,5.853841144,5.896621711,5.708680993,5.627420264,5.460979703,5.733995065,5.732140023,5.795691562,5.900335532,5.849189476,5.913386452,6.106626696,6.107084721,6.339779933,6.122621654,6.462729463,6.638261614,6.600793993,6.744582034,6.744934036,7.085345445,7.080931493,6.833883175,6.83700009,6.856108068,6.860875534,7.22465822,7.243178188,7.336237399,7.679663301,8.02934497,7.963546363,8.161579552,8.162591269,8.271566374,8.494744942,8.783310106,9.129070202,8.819316325,8.729374333,8.741616441,8.714648289,8.938897076,9.148989716,9.556602584,9.906932499,10.20482482,10.24280902,10.3944057,10.11840886,10.52069614,11.07049731,11.18488641,11.70681955,11.4858029,11.38771065,11.49469482,11.59151324,11.66064385,11.27363277,11.49229037,11.77667965,11.78043625,12.37398057,12.70798695,12.3155923,13.03125061,12.8957522,12.45914661,12.37598356,12.68703486,12.58867665,12.47697175,12.00658751,11.93033826,12.2034647,11.78609833,11.44738597,11.48758381,11.59555208,11.80959726,12.10925278,11.78847703,11.84842727,12.51485592,12.93267461,12.80514362,12.92527314,12.39580232,12.31089309,12.3996683,12.73216201,13.51900348
Biomass,4.5,4.725281479,4.977740368,5.192133762,5.241777553,5.402435234,5.577202553,5.698968851,5.784982205,5.778002896,5.506879411,5.351400124,5.216955681,5.006792967,5.002621015,4.899084949,4.97701197,4.809737507,4.609179247,4.535939389,4.695650911,4.831954697,4.804495886,4.74111151,4.695204781,4.559621966,4.426332013,4.349582578,4.231813565,4.094584705,4.141112131,4.269670765,4.368383664,4.245605903,4.081601671,4.107817282,4.040801643,4.141857284,4.24055999,4.415497243,4.408401396,4.653158532,4.930233737,4.76653383,4.96824456,5.13836083,5.269089689,5.245955664,5.299029157,5.32835748,5.418995626,5.673337253,5.625567143,5.593187502,5.74039819,5.899435739,6.180515391,6.22823216,6.466956894,6.450136135,6.377265505,6.671413322,6.467842051,6.496357567,6.543915118,6.574797337,6.71472139,6.903831615,7.21297669,7.45818334,7.278939936,7.175506168,7.313599844,7.605515471,7.725843746,7.675382512,7.990605325,7.884816851,7.958368462,7.627370173,7.634557982,7.683595373,7.530594853,7.666103908,7.640527871,7.575872124,7.582044229,7.902251414,8.390493236,8.609546526,9.150174791,9.263974115,9.318512449,9.822193517,9.652060957,9.380648444,9.035572236,9.190752029,9.404549626,9.707010777,9.527339855,9.374123985,9.946259577,9.98181452,9.849881619,9.93506805,10.06139731,10.04739183,10.74360662,10.86920725
Biomass,4.5,4.527861903,4.60822187,4.553949132,4.467792514,4.601447196,4.687966937,4.664859235,4.604723919,4.575828685,4.630179992,4.733738426,4.745725576,4.992491916,4.888607675,4.726201136,4.774743539,4.845934207,5.020315745,5.121325415,5.377469053,5.435027239,5.297668576,5.635998089,5.657203074,5.898139373,6.135385214,6.112087386,5.995331854,5.957895015,5.698260115,5.891774192,5.806120463,6.017388955,5.924996427,6.09551986,6.163468165,6.128395116,6.126616555,6.273159163,6.372083822,6.423912549,6.418856421,6.7704978,6.902543394,6.81691591,6.821769005,6.895350218,7.177890419,7.056973707,6.991589397,6.881518327,7.000606946,7.071300945,6.977980524,7.007153282,7.113421309,7.09323606,7.155988907,7.50742545,7.268741274,7.356907423,7.404395648,7.730450008,8.045342674,7.918895425,8.138723129,8.170184555,8.280649051,8.065562329,7.895948142,8.265414958,8.59987424,8.464681271,8.565620097,8.972630553,8.958514828,8.815405281,9.264735269,9.3360481,9.241466145,8.814629949,8.970099513,9.004486132,9.393223844,9.490480937,9.733658216,9.38390668,9.405174237,9.431216649,9.424788775,9.436325743,9.615619908,9.28286424,9.498507115,9.817268628,9.919829992,9.706278004,10.13363957,10.17977902,10.26533114,10.51784722,10.43087468,10.39382375,10.6419496,10.95540254,10.5169948,10.65542121,10.86828681,11.38798611
