YEAR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120
Coal,3.691741937,3.730052558,3.799066365,3.849000432,4.004685442,4.012503048,4.113701729,4.120814326,4.046931296,4.104190635,4.090474574,4.124348949,4.18111788,4.148835647,4.163075538,4.250598987,4.352574607,4.306022936,4.483511617,4.392917865,4.459235452,4.386515021,4.484040759,4.694304265,4.833280551,4.77164687,4.909919572,4.816033903,4.762484853,4.817903155,4.845682327,5.033508315,5.10737017,5.207081393,5.291212258,5.16222307,5.197254986,5.248627428,5.247492008,5.346616553,5.353445115,5.328264514,5.323607789,5.35563545,5.508760043,5.549692699,5.727470202,5.881064625,5.932608747,5.905224484,6.080922212,6.131963947,6.426298943,6.51281763,6.59447533,6.528600335,6.594140261,6.820057324,6.865962289,7.1051741,7.345318542,7.416796926,7.470672838,7.419394356,7.295328032,7.149170557,7.106722142,7.350425362,7.344462206,7.531519866,7.521205113,7.68242607,7.792308561,7.61945449,7.660341566,7.630359587,7.609015636,7.46302208,7.397235266,7.610194412,7.542280325,7.479927276,7.447997183,7.657656159,7.664357109,8.006425543,7.891212393,7.899219858,7.872807189,7.726402946,7.864367178,8.062825001,8.01686598,7.902112011,8.209052799,8.250764215,8.354575649,8.571513488,8.765611894,9.075846074,9.133747065,8.962618089,8.973089746,9.313232691,9.610945342,9.696044588,9.991528973,10.0405276,10.1053719,10.45235161
Coal,3.691741937,3.767657502,3.673287758,3.666324719,3.754256941,3.880065219,3.862448846,3.994697301,4.09284037,4.112323092,4.120061651,4.261533339,4.271340854,4.330870076,4.293445102,4.2346501,4.383258035,4.527135229,4.463382954,4.631150371,4.710015956,4.696229502,4.696646274,4.62259153,4.529778363,4.645685104,4.69568042,4.68397444,4.73533694,4.819828778,4.901450252,4.864820802,4.847885262,4.878189932,4.949935528,5.001514825,5.217841377,5.233908715,5.189274291,5.185589677,5.30984351,5.331511119,5.34236593,5.432280562,5.535605554,5.693660747,5.955132533,5.960183492,6.057271445,6.070406933,6.218262159,6.244173186,6.5322578,6.537306355,6.583896796,6.802002068,6.754836467,6.714093495,6.775716317,6.739678359,6.804444029,6.919527953,6.767276177,6.835072918,6.818754058,6.738208129,6.908783053,6.946821903,7.01206202,6.983840757,6.936176811,7.064010981,7.24652174,7.366133969,7.511900559,7.428464911,7.458898868,7.591740917,7.743233532,7.634747265,7.781991105,7.742451452,7.899678388,8.024426422,7.889460999,7.926619936,8.080488116,8.30370245,8.565981469,8.566437308,8.623374423,8.919538849,8.88508365,8.896644402,8.950098501,8.955920277,8.9503855,8.683582865,8.604600968,8.728903385,8.968715896,8.742253695,8.609292515,8.482102236,8.767304465,8.956233541,9.020312385,8.998625874,9.061725888,9.099868228
Coal,3.691741937,3.651732096,3.698402505,3.799158075,3.86751207,3.870524708,3.877482353,3.868767889,3.790554782,3.817013608,3.937979968,4.009653755,4.014821584,4.083580604,4.186950203,4.238665759,4.409760997,4.47366343,4.646487644,4.751193104,4.800740675,4.895617603,4.995583387,5.049361496,5.106430599,5.260205999,5.423343348,5.542034756,5.530602442,5.726629577,5.847342924,6.00002397,5.998685281,6.239539323,6.262966184,6.301645233,6.360591722,6.529531918,6.496054944,6.600483361,6.696270365,6.800450783,6.936247329,7.056994159,7.229215321,7.333174416,7.217736422,7.440027437,7.668066647,7.518950705,7.530527699,7.740598286,7.820229331,7.824519536,7.895796162,7.981067944,7.820520181,7.676818033,7.79450254,7.751815661,7.880778064,8.030031152,8.123353863,8.178467773,8.217651948,8.363545697,8.387350642,8.274888228,8.424399563,8.697381048,8.68450634,8.857983672,8.90437022,8.937656511,9.085607896,9.234341987,9.396556522,9.460324526,9.369260972,9.260095566,9.500338681,9.345907559,9.351151255,9.4195961,9.680235843,9.605016359,9.463734635,9.690375191,9.610969606,9.468110825,9.544243904,9.723159271,9.607512972,10.02210614,9.959272368,9.783762026,10.07184406,10.33202368,10.50099059,10.85165093,10.85287327,10.88344763,11.32707236,11.48019588,11.41034723,11.59601407,11.71952825,11.85478856,12.04543012,12.27500029
Coal,3.691741937,3.80959094,3.733254615,3.694036334,3.719132751,3.657591047,3.684112893,3.741774393,3.748263941,3.81079905,3.753560295,3.69018498,3.665983909,3.771607841,3.722773115,3.691528831,3.771608216,3.864173644,3.904385586,4.006340431,4.041608201,4.108419583,4.238030544,4.238824741,4.212654228,4.380537159,4.366925313,4.37732528,4.256500728,4.326902584,4.39885756,4.412043174,4.422202969,4.469125713,4.365779916,4.36777754,4.490979625,4.653215987,4.634279587,4.607249959,4.581068684,4.651309178,4.857579078,5.033302818,5.092341284,5.205502195,5.257099776,5.357196661,5.398807584,5.366029039,5.549130881,5.660394,5.765758693,5.832691861,5.879813169,5.876315659,5.75972206,5.81786216,5.998695611,6.051865375,5.982204952,6.050534101,6.23023072,6.192084937,6.265307254,6.311877996,6.526244884,6.440818056,6.47189481,6.424595513,6.614231103,6.631667303,6.840450665,6.899838942,6.934875652,6.970563354,6.835313967,6.704323182,6.743647131,6.693840103,6.540452634,6.419024256,6.430516911,6.615109127,6.808523945,6.895323237,6.779804661,7.088466602,7.166267682,7.195397353,7.061535087,6.969452181,6.949770947,7.273153127,7.274073673,7.384171477,7.385367681,7.43483261,7.488303441,7.4107002,7.44234611,7.394300294,7.524788651,7.698181535,7.639095647,7.618365549,7.941871684,8.261554324,8.273612478,8.491441902
Coal,3.691741937,3.621554851,3.657559959,3.638588418,3.63805644,3.686108448,3.75073104,3.697024017,3.744222683,3.760426592,3.75159049,3.914510771,3.941931915,3.903145984,3.855179567,3.92872826,4.047947102,4.0557623,4.119336249,4.127607443,4.161905826,4.331794759,4.282003205,4.309561855,4.255139819,4.289931233,4.318125395,4.269474436,4.401193414,4.598274745,4.672129789,4.776903473,4.842597493,4.986438756,5.036757455,5.117396751,5.1602458,5.223958922,5.265550945,5.217120993,5.334424178,5.451120506,5.638225532,5.703462928,5.827053025,5.8546061,5.93125897,6.056356442,6.165635282,6.163595065,6.158092092,6.236913074,6.376991542,6.675298587,6.560770491,6.763564682,6.815737277,6.941135943,7.007348174,7.049640742,7.042903052,7.305540497,7.410904037,7.62787138,7.718351296,7.990398154,8.093748394,8.197286268,8.251915107,8.435509827,8.311272174,8.357465669,8.31626002,8.399278978,8.436661382,8.436401437,8.550475377,8.549683479,8.58220414,8.639349794,8.809412288,9.216443854,9.199716207,9.291296366,9.3794277,9.690916583,9.713398158,9.921741605,10.18355304,10.10656349,10.23988611,10.21863735,10.54584144,10.8251599,11.09886391,11.55431084,11.41104324,11.71462234,11.45039967,11.46960181,11.65846376,11.80263149,11.93811782,11.7548129,11.76267066,11.92236973,12.06190855,12.47314991,12.76011007,13.12344021
Coal,3.691741937,3.758349549,3.770803723,3.771387053,3.866740062,3.921547347,4.002483558,4.146208136,4.080542381,4.203489396,4.319810003,4.439484623,4.538688906,4.740507274,4.819779495,4.947049201,4.869063052,4.890518739,5.027274465,5.182967776,5.33674935,5.384120575,5.378840862,5.341247494,5.261438556,5.388210857,5.448772736,5.416221955,5.490193282,5.358317853,5.363794122,5.438299197,5.629415147,5.670985101,5.574911362,5.489376714,5.459920389,5.433416919,5.497308309,5.451142659,5.598453706,5.677974848,5.898167715,5.971385589,6.01933609,6.008673125,6.042969743,6.282374755,6.151568496,6.162649811,6.090372937,6.119951783,6.127630575,6.20561281,6.142063591,6.233309579,6.272247361,6.449161938,6.610973331,6.620139098,6.683968356,6.834805439,6.974589135,6.92124206,6.987087771,7.078357632,7.15030923,7.227650659,7.467507817,7.567532888,7.773077119,7.794075242,7.987598635,8.036795152,7.925091547,7.817400591,7.702970621,7.735041134,8.007013521,7.978824432,7.943453118,7.926678321,8.250889393,8.19040401,8.360885738,8.46161882,8.489838206,8.507759097,8.423195893,8.646688132,8.8787793,9.08804638,9.074746984,9.191013496,9.307830631,9.111977171,9.357952737,9.669715974,9.512910001,9.690668317,9.692474484,9.772933359,9.91501767,10.21200991,10.63931753,10.62792235,10.90967559,10.97175663,11.06146545,11.30436729
Coal,3.691741937,3.73198478,3.773959475,3.78960195,3.86965653,3.925039539,4.01827541,4.001001628,4.027534997,4.090528384,4.216700891,4.270797295,4.311106241,4.362736888,4.299530975,4.39089481,4.501299414,4.525029599,4.516805389,4.56427932,4.777752642,4.785838118,4.944714021,4.851164621,4.875607511,4.868356025,4.851684187,4.988045382,4.968622973,5.01775312,5.088443814,5.239932462,5.490206537,5.556038333,5.65477012,5.652861907,5.724721823,5.772640496,5.908877428,5.993721793,5.988579619,6.029359498,6.102722265,6.036959142,6.191328929,6.428733259,6.507632872,6.645223194,6.589638742,6.750255496,6.877315626,7.130140494,7.091536416,7.293411968,7.509458043,7.539161686,7.782418187,7.798866382,7.972765826,8.298602691,8.474628926,8.513496278,8.484165455,8.436686705,8.373421775,8.43851808,8.396130869,8.670263844,8.916211278,8.977312805,9.062479789,8.919657974,8.698578792,8.680974095,8.644976861,8.501137215,8.637391747,8.578984829,8.408766017,8.383915976,8.598887191,8.479749224,8.637358284,8.621161107,8.913315594,9.076591599,9.268743934,9.579279781,9.871896019,9.711934552,9.788185564,10.03959526,10.31597914,10.80768315,10.88267129,10.75890376,10.91893719,10.7261079,10.52300055,10.65085054,10.7547639,10.92241483,11.00785792,11.25161514,11.46105534,11.90963554,12.06587437,12.00887242,12.3927513,12.36294854
Coal,3.691741937,3.773502313,3.841425269,3.949732421,3.909914488,4.075192119,4.076750719,4.21529932,4.15715777,4.323217908,4.416609701,4.565112047,4.61304,4.711713258,4.688265032,4.766229658,4.777305077,4.8270165,4.91990194,5.005504459,4.950181425,5.048550598,5.193709143,5.272898093,5.343362297,5.318560257,5.339666625,5.454361018,5.437583794,5.524910994,5.505192951,5.638174456,5.634834306,5.596564503,5.814042136,5.801774499,5.860025177,5.891568324,5.836498636,5.777345351,5.690799055,5.5873502,5.698373962,5.634010995,5.683468771,5.920530006,6.042598327,5.954279237,6.091491621,6.169220178,6.26781202,6.502018412,6.660891125,6.718994035,6.81552434,7.105248816,7.229821558,7.262897096,7.388712442,7.619429408,7.69940158,7.715836836,7.874749081,7.922610535,8.140005422,8.285853499,8.58213207,8.587042595,8.726168401,8.872415213,8.817252581,8.837333026,9.002264301,9.101457381,9.14695499,9.503064752,9.735990137,9.798100632,9.944293365,9.788213617,10.1721605,9.940741788,10.27743852,10.15223395,10.39496996,10.28460969,10.18163704,10.52135986,10.45709517,10.79928702,10.94015849,11.134868,11.24524445,11.32950729,11.40735035,11.26478541,11.41961009,11.31331788,11.64244099,11.86110623,12.00848661,12.23738285,12.42864738,12.79729667,12.66793751,12.97014255,12.86021249,13.24557855,13.07023649,12.96334307
Coal,3.691741937,3.707958503,3.830097629,3.793879353,3.798187123,3.911039762,3.959468492,3.950152803,4.002455001,4.017338692,4.122615314,4.1831494,4.292961381,4.347396404,4.291774352,4.248343758,4.331203053,4.327899785,4.409949056,4.569624599,4.542236561,4.658762405,4.65679448,4.708413567,4.805409762,4.786180415,4.802726247,4.860180267,4.726441543,4.806735279,4.803412951,4.874677859,4.998779612,5.158965558,5.179084732,5.170056511,5.214724492,5.229348107,5.243489974,5.250412231,5.284398089,5.331994494,5.294252526,5.212943967,5.396300741,5.297555692,5.408442098,5.539687798,5.629461276,5.793911723,5.746260565,5.831382716,5.931989855,5.887559604,5.763306805,5.837055422,6.097788783,6.188601598,6.143545136,6.252517752,6.36979747,6.516561107,6.601150035,6.888716563,7.102936997,7.201658893,7.218920316,7.380194019,7.272384198,7.500077698,7.796953499,7.61500095,7.792280303,7.860424227,7.817240636,8.023830493,8.182230993,8.205490927,8.196250218,8.355434215,8.596385415,8.434123824,8.447107712,8.605785023,8.541887207,8.776302664,8.989767194,9.246436003,9.251096351,9.306625012,9.582792982,9.855509112,10.02928734,10.42839258,10.74446162,11.07376697,11.14974826,11.28188294,11.20587728,11.52437559,11.49706431,11.66998892,11.6778179,11.67961491,11.43051681,11.54285179,11.57157877,12.06570654,12.16742012,12.31417173
Coal,3.691741937,3.652674505,3.664759937,3.708278116,3.749552796,3.768596447,3.774767669,3.733022808,3.854859305,3.894664701,4.030000703,3.977064966,3.954857857,4.069007394,4.058396346,4.090633641,4.156880208,4.249442088,4.313703616,4.333968352,4.364812889,4.406931708,4.509666996,4.548443813,4.641916116,4.563624715,4.541072005,4.521601594,4.611906529,4.680734243,4.691074227,4.751591825,4.899943905,4.998887729,4.865160973,4.962579449,4.925775569,5.05834644,5.129087952,5.115432105,5.030013594,5.128683338,5.097963585,4.970391345,5.134532972,5.257614897,5.329268499,5.307312655,5.225074879,5.163424246,5.369076884,5.250399451,5.38984082,5.414074347,5.32623068,5.319860617,5.351817373,5.589092828,5.626565777,5.568942337,5.664153889,5.831817465,5.964537423,5.914132021,6.186287502,6.261344239,6.162275465,6.169881835,6.211813631,6.211854061,6.273633191,6.252182663,6.249592014,6.337251435,6.509489449,6.490959024,6.637331138,6.519608878,6.535255527,6.593894004,6.656441948,6.868911275,6.897961698,6.794168559,6.675835387,6.739438114,6.885600758,6.792633836,6.93102671,7.060093684,7.188404104,7.364199222,7.458319734,7.648782882,7.615052897,7.700784277,7.48085347,7.553860857,7.503271883,7.573651665,7.636948044,7.818363454,7.756307357,7.976085701,8.248319501,8.279201034,8.321830163,8.339395692,8.435979833,8.365709436
