YEAR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120
Gas,7.5,7.633806119,7.828310494,7.826168488,8.426822213,8.389548008,8.319793728,8.195356574,8.6839952,8.982527942,9.413230623,9.636744506,9.405339219,10.07556572,10.01205879,10.4919656,10.48248218,10.00222121,10.18736777,10.38731319,11.08445958,11.06611854,11.40350499,11.39558143,11.66901779,12.18974512,12.06993001,12.21005189,12.82449056,12.73561921,12.84542463,12.95415845,12.72420909,12.6240595,12.301087,12.18185733,12.46163702,12.80850064,13.17629757,13.83695353,14.54921339,14.15584682,14.37935887,14.67859858,14.93833465,15.57802798,15.35886971,16.13054515,15.86842002,16.41961927,16.93076006,16.70126686,16.11618076,16.54749355,17.16777658,17.85225533,17.98795255,18.11836193,17.97170227,18.44486278,19.59456683,19.49373923,18.48229741,18.31870254,18.14358565,17.9892168,19.0391709,19.277088,19.82761617,19.78266711,19.94737804,20.73274819,20.80306554,21.40232401,22.57559316,22.71953968,23.33627455,22.65986413,23.0143352,24.42599958,23.58933625,24.0778204,24.20092254,24.38597344,24.94284496,24.58735809,26.3812246,26.88737262,28.91725998,29.27447712,30.90185679,33.07616967,33.67689267,34.52559415,35.61777277,34.19664957,33.80030078,33.94291671,32.34796672,31.55428515,30.65758091,30.48413881,31.55853596,32.42989527,33.31877932,32.11775567,32.87161726,32.26755125,34.12207633,34.9239021
Gas,7.5,7.502680242,7.598364683,7.416235062,7.544272655,7.232842479,7.06542526,7.256235169,7.641534412,7.897376574,8.233564064,8.172282333,8.60078349,8.930009212,9.093064677,9.015028627,9.378665327,9.666594692,9.835290831,10.06539317,9.712905191,9.815298682,10.22753689,10.73394712,10.86199395,10.98756901,11.54219013,11.55957255,11.40589772,11.25288319,11.70807632,12.13062657,12.72280264,12.90499326,13.20865285,13.55796277,14.10172191,14.10383928,13.75724799,14.30501206,14.50446924,14.30136805,14.68804864,14.3765942,14.77847768,15.08251279,16.06555805,16.46327461,16.50045644,15.84914265,15.9391528,16.2314498,15.47462571,16.20789589,16.04755914,15.66141829,16.43094011,16.22114844,16.62461767,16.53621201,17.04309279,17.49828598,17.57931982,18.28047846,18.37616704,18.38657841,19.13649075,19.05859295,19.52564894,18.80009579,18.97988084,18.13694329,18.55424266,18.61022131,18.61201579,18.84787702,18.08867013,18.50459051,18.09733933,18.85016093,18.69238306,19.33137521,20.25232182,19.97515242,20.44151437,21.06779953,20.84707431,21.58929976,21.85343017,22.85643912,23.14001996,24.42895044,24.05137234,25.33849535,25.5566255,24.9169342,25.17581832,25.73700179,25.96416681,27.4188822,28.07718623,26.79334651,27.27048532,27.74432927,28.2748766,27.87987401,28.04140788,28.16045848,28.01444218,28.30713479
Gas,7.5,7.604450606,7.507581412,7.411005149,7.573874928,7.918670869,7.929041005,8.24529374,8.692422217,8.862458938,9.212385493,9.452533209,9.67763509,10.22777187,9.959283707,9.994057871,10.27537265,10.39233019,10.54532289,10.38457314,10.44431109,10.25931289,10.77717707,10.76339076,11.28353067,11.42832147,11.70688795,11.46696071,11.26898018,11.7219165,12.2359243,12.97602846,13.09525074,13.71988966,13.63688581,13.55954688,14.1379748,14.34528343,14.7430421,15.55200893,15.05160257,14.80092104,14.57496692,14.25479263,13.85314716,14.7124927,15.50808143,15.52954134,16.01843429,16.4306564,17.26748715,16.87687968,16.67565218,17.07231562,16.60281548,17.33036484,17.60061016,17.75833009,18.20639805,18.2616257,18.99594334,19.75178985,19.27232201,20.14608962,19.68928635,19.84329752,18.87512113,19.3634603,19.84442093,20.41178008,21.16176135,20.42083489,19.70694715,20.17330781,19.77179908,19.28087259,18.96404993,18.76615114,18.51711298,18.13296037,18.43672326,19.21935324,19.53142022,19.85947729,20.20816344,21.1949117,20.68456026,20.4493517,20.67896013,19.96632092,20.19505451,20.81958357,20.64377351,21.34531109,21.88419743,21.13461789,22.20825433,22.68701499,23.96326029,24.17908911,24.72014183,25.28317011,25.33360046,26.59861326,26.67547723,26.23500915,27.01514609,27.83515697,27.29538088,27.83293665
Gas,7.5,7.427758813,7.408615634,7.579877064,7.699334724,7.888166729,8.004587234,8.625426877,8.876333656,8.986788322,9.063705611,9.023913674,8.768223881,9.233110602,9.313990009,9.272029471,9.399304892,9.952210109,10.3151905,10.48079671,10.62126461,10.50163758,10.40604099,10.5210313,10.56947638,10.95608007,10.92278344,11.04320093,10.83877556,10.76035882,10.90960847,10.87727581,11.46442953,12.05487902,12.8253389,12.68035831,12.37145536,12.70486873,13.42173899,13.56996449,13.90605973,13.49213119,13.99993858,13.5493575,13.34411436,14.10654696,14.50543222,14.77232022,14.95828431,15.34361309,15.42550723,15.02144191,15.12495966,15.36032199,15.18139509,14.79982089,14.934375,14.93416414,14.63424487,14.84075654,14.6478883,15.12475224,15.33885184,15.07392504,15.59558024,15.73692377,15.89607744,16.5923964,17.09038169,17.06411438,17.67768099,18.48879338,18.6595198,17.88736106,17.30818637,17.25234789,16.50721421,17.72333017,17.88612658,18.25387367,18.77461586,18.81700852,18.13176875,18.34837105,18.67027709,18.80131101,19.39368518,20.23921647,20.62970458,20.06798022,21.59718191,21.76635887,23.17809302,24.77488361,24.95035277,25.49375353,26.6827738,27.44365349,29.18496014,29.32838548,30.18674971,30.50361978,31.43624178,31.39069279,31.58262127,32.23953733,34.36030328,36.06810379,35.72848945,35.23442434
Gas,7.5,7.425145813,7.452225616,7.675749882,7.80464528,7.855404128,7.856230111,7.913572031,8.443471601,8.814656741,8.764947274,9.034066426,9.203812915,9.761460657,10.03525797,9.705546086,9.670972512,10.11841772,10.03351945,10.37821125,9.95647018,9.672764718,9.902935386,9.931678387,10.11404736,10.51294332,10.86360628,11.0029723,10.84411831,10.8704795,10.59294184,10.78676767,11.15422256,11.40012891,11.60241285,12.12178196,12.37869532,13.02531406,13.27047982,13.02957682,12.87685414,12.44475991,12.87962988,12.84700678,12.59855591,12.59429565,12.63359146,12.5215837,12.80197263,12.41832164,13.10821704,13.31851644,13.77853185,13.4221996,13.87864261,13.43908986,13.63843265,13.43520686,13.04981866,12.96475674,13.24036566,13.37586397,13.43916419,13.82964992,13.71617902,13.42265695,12.97119979,13.73195942,13.36332683,13.47024331,12.72694414,13.31462824,12.95346721,13.67800138,13.23610113,12.88868889,13.53575394,13.81959098,14.12652499,14.3514376,14.67922484,15.11963001,14.94264682,15.53503365,14.74376143,14.98808671,15.27965079,14.60518781,15.11024387,15.45686399,14.7264392,14.76679086,14.96266901,15.27558248,15.73086367,15.80469511,16.8664085,16.67465729,16.66639758,15.99223099,15.93845532,15.91230268,16.85417294,17.36894777,17.35186635,17.59391842,17.7172336,17.27232609,16.81922251,17.19131089
Gas,7.5,7.278598021,7.084407836,7.375606894,7.831677372,7.588783108,7.983881771,7.745659936,7.920591792,8.160559331,8.33197974,8.205056394,8.465378859,8.801167917,8.874064528,9.304064981,9.3856808,9.704330072,9.713185955,9.716176448,9.486423674,9.883732294,10.35125194,10.4612014,10.30538528,10.14986116,10.61131753,10.77081807,11.24450823,11.38791535,11.14999029,11.65450059,11.70101783,11.48822552,11.80134132,12.25637207,12.34576661,12.37537234,12.96593602,12.98508804,13.15777865,12.9447218,12.34616527,12.64531415,13.42046445,13.75024353,13.2182039,13.12687055,13.28912082,13.31916975,13.93228216,14.44854335,14.43329334,14.36566114,14.63186514,14.41983547,15.26823422,15.94581272,16.35776202,17.14601081,18.06580296,18.28191549,18.11952401,18.50649243,18.28532012,18.4162346,18.97336819,18.9663245,19.02379909,19.51750659,19.68333496,19.41730553,19.21837737,19.53679112,19.42666517,19.77622432,20.14273903,19.97988173,20.28395071,20.9008797,21.06546444,21.92463364,22.29984767,21.75505144,22.84877048,21.68136966,22.24452483,22.19149121,21.69743687,21.25703566,21.68567154,22.50950131,23.67780917,24.65685602,25.43750104,26.90101892,25.41768686,25.65115387,25.40046781,25.12428624,24.34800516,23.58117936,23.89756148,23.64150601,22.90708402,22.66862961,22.58819294,22.75904657,23.71180831,24.971016
Gas,7.5,7.543039473,7.70783873,7.738643199,7.754670477,8.065300434,8.49419445,8.61146021,8.30199373,8.667540771,8.625337201,8.772146182,8.775162797,9.086553092,8.841839458,8.574566188,8.9915758,9.261389781,9.226429991,9.40704064,9.373169366,9.345964678,9.845411603,9.941720119,10.29516448,10.55314737,10.20080641,10.12532758,10.22769305,10.52734096,10.9380428,10.73847258,10.8091498,10.81055915,10.73439825,10.49844454,10.61989283,10.9701536,11.37924456,11.72414737,12.04517695,11.79388524,11.875637,12.09152118,12.36166392,12.6280997,12.58566785,12.91777215,12.46078349,12.62272548,12.19017134,12.34650625,13.20547086,13.64473543,13.68134884,14.37508878,15.25832491,16.19322392,15.50330112,15.46988071,15.63547236,16.18801849,16.47599054,17.00896325,17.00884058,17.35316513,18.1410514,18.98456682,19.3075599,19.57210625,19.69940471,20.66517429,21.04180974,21.02567799,21.4341004,21.70874748,21.12589537,21.31312125,20.82526986,21.40128433,21.97835702,21.81790908,23.18540017,23.52341767,23.92791936,24.061308,24.57429259,25.2953739,26.56106672,26.90508536,27.28355419,27.60632373,28.13929478,28.82890216,30.25769898,30.03958254,28.50883927,29.33202081,30.28939738,30.61654497,30.54877732,32.3288782,32.8607731,34.81732637,35.90113249,36.08417423,35.16228722,36.33055772,35.13649556,33.13909746
Gas,7.5,7.759981015,7.411420457,7.331535968,7.262655306,7.70539057,8.153890873,7.850592045,7.907989988,8.121771264,8.10630659,8.132663732,8.260192479,8.041167171,7.722534312,7.439987245,7.525711125,7.824963021,8.109847104,8.311723613,8.522553999,8.66505593,9.002697178,9.175776471,9.752803006,9.998388589,10.68210685,11.15452828,10.82046122,10.43255715,11.13030335,11.14074067,11.76890609,11.58971391,11.92312247,12.22804884,11.90448646,11.51872569,12.05659821,12.56057938,12.84270128,12.71424244,12.77259247,12.87642774,12.55236585,13.2468388,13.69772549,13.84376152,14.27419366,14.01343241,14.54888925,15.31320282,15.5524362,16.11887372,16.28873164,16.57995842,16.57990127,16.74579256,17.19088796,17.86447568,18.70759116,19.57780923,19.07461464,19.01140503,18.89409349,19.29152217,18.20878009,18.62377339,18.7143407,18.15458603,17.57538887,18.21578642,18.17160047,17.88835408,17.8940877,18.45293874,18.2284394,18.47734928,17.51436445,17.81149604,17.91891476,19.19184618,19.74415612,19.77228052,20.66183894,20.57315943,21.07411143,21.25377221,21.30114237,21.7776308,22.0584659,22.45954437,23.24418717,23.86252361,24.06756544,23.75559615,23.40370151,23.40023992,24.03144519,25.42058125,25.34340913,25.71313762,26.17480228,26.68488183,26.67974147,27.34413199,27.43489271,27.22140487,29.03653219,27.5915597
Gas,7.5,7.616903266,7.706080449,8.088998099,8.598490846,8.649717418,8.905900462,9.272141545,9.252161285,9.426434247,9.041059332,8.925422927,8.483138284,8.402456126,8.518338681,8.644898175,9.15076193,9.448919799,9.578017012,9.669633915,9.928225278,10.30114718,10.80396413,11.2266222,11.14876628,11.1653019,11.54182238,11.51591778,11.59522812,11.91464204,11.96437355,12.01624201,11.56759406,11.95446367,11.89623451,11.58813082,11.30708373,11.92286827,11.28810773,11.30038798,11.37702373,11.50838419,11.28209363,10.82201132,10.7918606,11.01133742,10.98002272,11.15770768,11.78493785,11.98232669,12.04858447,12.48605894,12.83504447,13.48195811,13.93303297,14.16683751,14.56123272,14.99072675,14.82558266,14.99957521,15.84708396,16.56982907,16.10905319,16.90248387,17.74678775,18.90486954,19.2955411,19.61149018,19.72343676,20.27842563,19.92254865,20.23532848,19.99819246,20.99342212,22.35553295,22.1751615,23.39837528,24.05374137,23.03131792,24.06696407,25.75090166,26.61397021,25.97200171,25.84323793,26.22511204,27.02113078,27.37368186,28.79505259,30.09738669,30.26577056,30.90683452,32.93731574,32.63710803,31.44543834,32.25765486,31.56403804,31.54828007,32.135803,32.2479799,31.32582299,31.9431404,31.88360993,32.07241971,30.86071382,30.11294836,30.62070001,32.73327202,32.61433538,33.59142577,33.27860056
Gas,7.5,7.741671494,7.646511977,7.417459314,7.58059279,7.790919238,8.282119885,8.097173386,8.223274192,7.985485403,7.906072366,8.209851116,8.421552571,8.43879397,8.841822164,8.955070037,9.311391588,9.469545112,9.169646994,9.714190609,9.248592749,9.517282002,9.744320427,9.671060775,9.736313643,9.587447461,9.371237417,9.465243506,9.613714942,9.795530989,10.25427381,10.21630367,10.30423133,10.01106239,10.33189182,10.05091318,10.25469339,10.81766621,10.63404255,10.44530583,10.61597921,10.67674569,11.43417421,11.39185482,11.52521936,11.18383542,11.75226306,11.58033603,11.65137998,12.09623239,11.6631115,12.09418521,11.82919126,11.62641511,12.23145244,12.35339212,12.62020525,12.69042852,12.53785641,13.3942921,13.34984728,12.99932524,12.88517383,12.889613,12.7366817,13.05122901,12.83542754,13.24641832,13.22611248,13.88012697,14.00132925,14.81035952,14.82092084,15.49940773,15.52746848,15.78971003,16.39959845,16.05800905,16.99996735,17.27592956,17.13390999,17.07790864,17.00705317,17.30034806,17.51801989,18.16286871,19.16847697,19.48900744,20.38336819,20.65996938,21.50728244,21.09365969,20.37446801,20.49277723,20.98540893,20.44649274,20.55192638,20.89100556,20.73732338,20.68022035,20.48868764,21.27577373,22.32577486,22.26611637,22.21697888,22.55714726,23.72568064,23.88197731,25.1122934,25.51436867
