YEAR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120
Lignite,1.427777777,1.438229628,1.432826074,1.423613092,1.432792138,1.429490144,1.427509268,1.424045704,1.419997209,1.431232307,1.423779026,1.418101186,1.41552361,1.423523798,1.42221138,1.413936432,1.418884441,1.426366365,1.427062512,1.433645881,1.426227734,1.417879034,1.426850168,1.435315597,1.42839981,1.430402228,1.440564002,1.440580086,1.431086684,1.436476221,1.442329189,1.447100365,1.4482741,1.441868747,1.448744815,1.449754953,1.4502668,1.441893633,1.445700514,1.457098907,1.452478504,1.457435731,1.461776738,1.457050524,1.465651043,1.472813688,1.474473429,1.4870973,1.488647974,1.481769188,1.481183146,1.494425383,1.492542115,1.493907114,1.481031709,1.477805639,1.478113125,1.46908841,1.455891048,1.449038327,1.438017563,1.443797858,1.451680759,1.458493788,1.458631982,1.457019763,1.468320031,1.475518755,1.474527379,1.474612347,1.476593549,1.477113886,1.472829296,1.484031917,1.488975388,1.480649021,1.486120328,1.475224896,1.483464812,1.484050197,1.473720913,1.48194147,1.479307384,1.475579843,1.467352907,1.455773914,1.449590899,1.459862904,1.462114602,1.460894429,1.457773179,1.45164535,1.450158526,1.459903786,1.460630086,1.449794564,1.458676782,1.45305629,1.45096984,1.450587795,1.445102217,1.451019284,1.445489095,1.442685989,1.446911216,1.45910216,1.462479375,1.465908944,1.477432499,1.467160264
Lignite,1.427777777,1.429726486,1.427384807,1.425757445,1.432273046,1.432207148,1.42361124,1.430780411,1.427786242,1.424480693,1.419722951,1.414474865,1.417660362,1.417208622,1.413751939,1.414324013,1.412034109,1.419715193,1.415242664,1.41409024,1.41376062,1.41774554,1.411057951,1.417653631,1.425946026,1.437920363,1.447134894,1.442167657,1.439849294,1.441750098,1.451654123,1.448428615,1.460068162,1.454170478,1.459280286,1.471483776,1.466132023,1.466026489,1.466250561,1.463958571,1.472674582,1.472727525,1.47517815,1.475243596,1.474066478,1.47544645,1.479052224,1.478254146,1.48207652,1.484420725,1.474203477,1.464534332,1.460906,1.467259806,1.478301564,1.47861702,1.475222783,1.48078539,1.477487156,1.479344491,1.478828744,1.477890815,1.4787626,1.489251869,1.492849928,1.486914156,1.476083229,1.466252106,1.458798333,1.459818474,1.460378981,1.461622766,1.452841427,1.456880259,1.458882812,1.471225562,1.471737131,1.479404737,1.477301996,1.473194543,1.47385604,1.477747818,1.474014868,1.472878235,1.471050775,1.477029817,1.476691339,1.479405563,1.473844545,1.47137529,1.474937147,1.482038051,1.479677592,1.473152112,1.468426415,1.465657469,1.465979037,1.464655472,1.460682234,1.456444034,1.457627254,1.453505872,1.463683756,1.470709919,1.466250907,1.456262086,1.453413611,1.450998987,1.448985303,1.454086728
Lignite,1.427777777,1.435441536,1.447224994,1.441764217,1.450295698,1.442906687,1.446447656,1.442338044,1.43793006,1.444620552,1.456820261,1.460590532,1.454014079,1.448887993,1.449173899,1.447978912,1.438809393,1.445113777,1.44546836,1.450171633,1.457313334,1.458094174,1.454241906,1.459493382,1.465521367,1.469394039,1.476559157,1.483422781,1.470983911,1.465699377,1.471173106,1.471332695,1.474169843,1.479816617,1.475487238,1.476538811,1.478335678,1.470518862,1.467549656,1.470180558,1.471915905,1.478510366,1.469976443,1.458757052,1.466481083,1.46867325,1.468859782,1.474454717,1.47229408,1.478759885,1.472707855,1.475735284,1.464906909,1.470571626,1.483716079,1.475744476,1.477539892,1.481180266,1.484441906,1.480528872,1.480565813,1.483042749,1.48395884,1.482447835,1.473874195,1.476969552,1.476729615,1.476191234,1.48168523,1.478643449,1.475940072,1.46564954,1.464806545,1.461674424,1.458771972,1.462677575,1.475398999,1.479017099,1.483467407,1.48000303,1.480611377,1.478203923,1.484295952,1.49197712,1.492555433,1.500454345,1.500367149,1.498374201,1.489973785,1.481413185,1.470787058,1.465909117,1.463299106,1.450816013,1.450813347,1.448179516,1.443456574,1.452126315,1.451927685,1.442887445,1.451099395,1.454027567,1.461728304,1.464494659,1.464793579,1.461026693,1.460280435,1.449600386,1.455834733,1.457285864
Lignite,1.427777777,1.430674636,1.432922619,1.437211509,1.435067648,1.428423696,1.425580605,1.422295571,1.431639082,1.423642341,1.423381482,1.41415658,1.420544622,1.416599173,1.403164385,1.407166142,1.401665637,1.407337057,1.406790322,1.415755982,1.417542005,1.43031265,1.423193297,1.425675041,1.428047212,1.432929386,1.433138608,1.422316109,1.434845795,1.439707519,1.434002415,1.435551512,1.434546793,1.428747968,1.427211189,1.424258315,1.424183299,1.42726671,1.420085485,1.415825561,1.414029477,1.423566642,1.423193848,1.424847008,1.417750243,1.428752626,1.420811894,1.427323371,1.434564165,1.437557631,1.443369125,1.45503788,1.451934929,1.460800673,1.463239819,1.45610956,1.446739536,1.448792722,1.450248421,1.450893402,1.452534488,1.455006297,1.452651396,1.453520309,1.458579099,1.456181319,1.457501262,1.461908787,1.472164154,1.469228259,1.461422008,1.462672269,1.464884557,1.467445451,1.476046465,1.467365384,1.47697208,1.481510275,1.473129874,1.481734882,1.478228336,1.475023629,1.466936637,1.458463461,1.453440985,1.442793231,1.447347796,1.447414671,1.446490985,1.440754737,1.434558307,1.425606433,1.434868132,1.42686753,1.433816046,1.426554808,1.415665612,1.415891521,1.412790294,1.409134134,1.419355314,1.423473213,1.416513407,1.416453373,1.423785042,1.427404503,1.422431724,1.425199104,1.424701606,1.428718808
Lignite,1.427777777,1.426838966,1.434857603,1.444881848,1.438595943,1.43921266,1.447225356,1.444743824,1.44804261,1.444382587,1.4449303,1.443088828,1.442718866,1.442267041,1.438360389,1.441273446,1.441502418,1.441297216,1.445134118,1.440969543,1.435423622,1.435616696,1.440008603,1.440804544,1.434793231,1.431103219,1.431512863,1.433148997,1.43314614,1.435047876,1.440538417,1.433731666,1.441161728,1.440673111,1.441202765,1.439462136,1.449314836,1.448721929,1.447645062,1.451211377,1.450769316,1.452453456,1.449295241,1.444520163,1.443566753,1.453002204,1.446722082,1.452500214,1.441225298,1.447841197,1.452659296,1.451199156,1.454819221,1.447637598,1.446898883,1.434515447,1.438657596,1.44592628,1.439885546,1.431853986,1.434887453,1.43557907,1.426722122,1.423542217,1.425256454,1.4248112,1.419649889,1.413759183,1.416134756,1.414964819,1.409795294,1.408845325,1.41362982,1.419819106,1.422062677,1.424539174,1.417117423,1.417786582,1.416707351,1.4145251,1.413131286,1.421590412,1.420370346,1.410468004,1.418813254,1.423378172,1.423768755,1.423835591,1.420901427,1.425884323,1.427218498,1.429105324,1.440613502,1.444666146,1.441289685,1.435180432,1.437073868,1.426885765,1.439328715,1.443567532,1.439974525,1.443466331,1.441506625,1.436474665,1.424874362,1.424429621,1.43518139,1.439399809,1.443534359,1.446983595
Lignite,1.427777777,1.417809385,1.405025088,1.409337115,1.404381477,1.400189257,1.407611807,1.410429718,1.410520801,1.402289291,1.397416251,1.401779492,1.407565333,1.406205975,1.412762818,1.40374821,1.404529924,1.408618394,1.402536964,1.399947861,1.409173828,1.406591945,1.401963664,1.395395948,1.39448556,1.402545173,1.394884805,1.39226377,1.396330971,1.394404579,1.3925303,1.385520063,1.385327946,1.382557307,1.385914725,1.385799521,1.38876866,1.385120256,1.387111806,1.37883543,1.368220332,1.379659471,1.379934026,1.385462127,1.380394776,1.372539555,1.364713155,1.362965406,1.353044511,1.354324068,1.355814521,1.366285937,1.361337891,1.350487794,1.342104833,1.34307062,1.352423529,1.353249784,1.34445385,1.353322845,1.35225646,1.349771029,1.355759248,1.349791688,1.352971933,1.352689859,1.35714106,1.352766595,1.350349982,1.345070337,1.354957883,1.358164115,1.35755115,1.356624465,1.358690117,1.362701008,1.3621114,1.362625908,1.358523333,1.369282746,1.375592641,1.377675762,1.382261351,1.38135409,1.369755602,1.370368041,1.372651771,1.377539478,1.37295342,1.372769368,1.371866193,1.370592868,1.378717302,1.379480688,1.380032608,1.372983345,1.376753228,1.378496072,1.375231994,1.375191761,1.378945837,1.387077831,1.38424734,1.379055846,1.380516362,1.375284127,1.378723702,1.373898499,1.370342013,1.369498102
Lignite,1.427777777,1.42190455,1.420318809,1.421667476,1.421142362,1.425458414,1.42860359,1.431244723,1.429943304,1.439979218,1.43860044,1.430730825,1.429772157,1.436787349,1.42619466,1.427657441,1.432990367,1.424569912,1.419718522,1.415569321,1.410988682,1.417273289,1.416565384,1.411243359,1.414991448,1.421485998,1.41165464,1.421812921,1.420058046,1.417956465,1.417241613,1.412899537,1.404434189,1.407565027,1.39580851,1.394089531,1.393970271,1.394585968,1.390754,1.37879368,1.384548277,1.386414941,1.381199773,1.379681578,1.392134194,1.39468788,1.397458782,1.391214806,1.398059761,1.395453548,1.398036802,1.403219437,1.411181944,1.40027254,1.398670791,1.391532054,1.389448196,1.389485481,1.387668638,1.384000759,1.382879741,1.383178831,1.381770576,1.375258372,1.376819422,1.378317893,1.374774583,1.375757484,1.369552124,1.367903302,1.365625889,1.360543498,1.365296645,1.368136689,1.367260965,1.364717442,1.361239161,1.35821066,1.358643572,1.353349742,1.355907254,1.349119909,1.352538817,1.350074414,1.347938985,1.345434358,1.346507589,1.354250142,1.358474139,1.351668656,1.350126637,1.359195588,1.367591358,1.363085029,1.366261595,1.365959467,1.365579698,1.36362894,1.361952255,1.359960488,1.355047473,1.350901567,1.340885219,1.342165117,1.34069358,1.337470814,1.328310082,1.331586858,1.33354807,1.336749286
Lignite,1.427777777,1.423322597,1.426459109,1.420257445,1.427667187,1.419989418,1.422761238,1.423153651,1.413228358,1.413592044,1.417919728,1.425368401,1.432847224,1.440312773,1.439332843,1.43941883,1.441217891,1.441127275,1.441092187,1.432795232,1.426308253,1.425920806,1.435997096,1.421987663,1.41823234,1.411101361,1.412331544,1.418704846,1.42529996,1.42514931,1.422276792,1.417675908,1.416808176,1.426514557,1.429643711,1.43958184,1.443588022,1.439047761,1.439170932,1.444942402,1.441284632,1.442513203,1.438966105,1.434641871,1.438661529,1.438686956,1.440149814,1.446685312,1.442435676,1.438384482,1.435650779,1.434723245,1.440121628,1.430099459,1.434469307,1.441105179,1.435490976,1.430161327,1.421556175,1.409020058,1.40314777,1.400754489,1.405808233,1.404777973,1.409747445,1.41770949,1.417675072,1.421562476,1.414729749,1.42201469,1.412434315,1.408128343,1.410177163,1.417173146,1.422551559,1.424864384,1.425560379,1.411721964,1.39980321,1.403924657,1.403155845,1.411436081,1.420373011,1.412691378,1.410699942,1.404646656,1.40034004,1.404812099,1.411242252,1.402442477,1.402887024,1.405581888,1.405680469,1.407768105,1.408924136,1.40049485,1.407035066,1.411052908,1.410815388,1.412775742,1.411967632,1.409967673,1.416199552,1.410718524,1.405158577,1.406285658,1.408095847,1.396257771,1.40344639,1.415208529
Lignite,1.427777777,1.430313362,1.423407997,1.415926761,1.413088959,1.412759206,1.412561916,1.419453311,1.427605356,1.420339734,1.425945233,1.425584442,1.417125367,1.422191716,1.415951541,1.41695664,1.414287664,1.415738134,1.41624323,1.416109456,1.410795925,1.406536373,1.414046033,1.420471718,1.42065306,1.426248565,1.417794396,1.419891843,1.428296713,1.433159925,1.44395724,1.431411109,1.420808838,1.421787908,1.423929811,1.426375742,1.428087132,1.431177924,1.441670933,1.440320607,1.435880262,1.444602891,1.44336264,1.442718716,1.444074259,1.441627729,1.439126681,1.446673544,1.450155672,1.452369111,1.45904175,1.450735276,1.450221932,1.461234858,1.466926372,1.465336652,1.46411119,1.47307676,1.484359969,1.481007616,1.471525641,1.477237339,1.481405795,1.490228642,1.483626961,1.49505649,1.499490819,1.495215524,1.490466843,1.479079925,1.479038972,1.475139913,1.474659562,1.473389912,1.464525299,1.471026171,1.479520467,1.486353932,1.487300609,1.488923389,1.483193122,1.47232257,1.461500682,1.461075205,1.454107708,1.449119001,1.447346453,1.439652857,1.435529322,1.433396376,1.439350977,1.431240626,1.436972264,1.42759239,1.429507508,1.428410536,1.428585006,1.434545074,1.437113893,1.438822468,1.430452187,1.429401541,1.428169634,1.433903198,1.437865962,1.439762743,1.446096643,1.453235769,1.466415935,1.467308094
Lignite,1.427777777,1.433394193,1.426029838,1.42168791,1.410001984,1.414684674,1.411015345,1.422112013,1.426141862,1.427644517,1.42919717,1.42900126,1.422769869,1.419530286,1.433341254,1.426768533,1.429189186,1.438443,1.450830086,1.446774239,1.45816923,1.456136945,1.467982752,1.463831974,1.458285858,1.456283497,1.451978487,1.441528618,1.44682019,1.450502833,1.447622297,1.443802191,1.453219611,1.446371416,1.439904452,1.43039827,1.432727787,1.441571847,1.446131131,1.44232393,1.42824187,1.426275983,1.424467386,1.423026629,1.413464906,1.415555954,1.411130217,1.408838586,1.40727861,1.410395126,1.405250208,1.399384671,1.397134122,1.401748471,1.403045972,1.397445403,1.410195236,1.416127648,1.413848491,1.412800659,1.412085957,1.406963267,1.403285485,1.40588298,1.406775676,1.395271176,1.395312515,1.397512285,1.40515546,1.410947693,1.409508799,1.406948724,1.407416415,1.409548612,1.409914356,1.408341703,1.408497798,1.418582573,1.427088707,1.415224798,1.41270171,1.418416111,1.427871373,1.420021953,1.413344393,1.400792742,1.408047191,1.410004114,1.405065479,1.399456888,1.407753012,1.401276216,1.410995873,1.409673409,1.402651405,1.397816478,1.395344584,1.388015885,1.383444506,1.386590733,1.393184414,1.386512154,1.377586165,1.378166276,1.376159486,1.386149104,1.388827173,1.387845771,1.394478827,1.386405555
