YEAR,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060,2061,2062,2063,2064,2065,2066,2067,2068,2069,2070,2071,2072,2073,2074,2075,2076,2077,2078,2079,2080,2081,2082,2083,2084,2085,2086,2087,2088,2089,2090,2091,2092,2093,2094,2095,2096,2097,2098,2099,2100,2101,2102,2103,2104,2105,2106,2107,2108,2109,2110,2111,2112,2113,2114,2115,2116,2117,2118,2119,2120
Uranium,1.286,1.289939098,1.290046243,1.29105841,1.283294995,1.275427043,1.275282563,1.272194957,1.275764908,1.278341459,1.272787192,1.280041187,1.287090518,1.288440849,1.290512871,1.293970073,1.294032222,1.295467525,1.304177537,1.303510666,1.298197068,1.298831012,1.295177186,1.295326706,1.292612711,1.285184757,1.282554395,1.280941139,1.276545577,1.271904119,1.277921013,1.281220625,1.284927922,1.283508577,1.290612207,1.285999926,1.284265897,1.284115807,1.287567775,1.291417621,1.286803402,1.282704805,1.275057181,1.266672817,1.268213611,1.257011946,1.250446556,1.246107166,1.249044038,1.243131807,1.244623884,1.234876236,1.239664144,1.241215693,1.236385145,1.232016565,1.226784996,1.225489938,1.218493868,1.210066007,1.20110949,1.19532705,1.199905834,1.207908388,1.213017696,1.214387772,1.220370767,1.225731235,1.226817211,1.231715565,1.235767775,1.240902588,1.237408893,1.240981342,1.251968173,1.255701281,1.263394947,1.254141603,1.252531298,1.257647624,1.254326106,1.250394835,1.245712937,1.238146352,1.229942428,1.234660201,1.232687618,1.233271303,1.227365,1.226217027,1.22224159,1.221015407,1.217449458,1.226846075,1.220515905,1.218176236,1.220529918,1.225699311,1.227948097,1.225783835,1.22696326,1.224806983,1.233413324,1.239687182,1.238057246,1.243935019,1.238751877,1.236334187,1.233209388,1.228227393
Uranium,1.286,1.285411534,1.28736604,1.281654737,1.276370777,1.285311078,1.28009958,1.271552025,1.268619411,1.268643013,1.258019929,1.256324048,1.256780707,1.260640693,1.255898242,1.258303931,1.258680537,1.260195979,1.261308754,1.26705212,1.261113555,1.265427821,1.26216127,1.258941256,1.25634374,1.265017059,1.274586717,1.278503224,1.273208474,1.274168626,1.267237045,1.266443088,1.267001448,1.271409694,1.273772054,1.275424786,1.286925828,1.295823329,1.302800307,1.297818167,1.295933749,1.296900152,1.297584398,1.302092202,1.297972915,1.304323614,1.311950887,1.311013281,1.30389017,1.310354983,1.313227037,1.314461648,1.319967881,1.324234671,1.324529745,1.33274815,1.332478145,1.330812428,1.33730182,1.344300481,1.337050787,1.333744046,1.336743907,1.333481853,1.332982608,1.325700845,1.330544763,1.33462873,1.324560383,1.334420117,1.332933669,1.334326757,1.334916911,1.338755381,1.342207994,1.342062429,1.34643367,1.342429047,1.338981291,1.334244141,1.338206966,1.33885772,1.345978901,1.355988554,1.357676138,1.361522652,1.358975245,1.363252938,1.366645175,1.366001224,1.363021173,1.362274488,1.366015523,1.370029389,1.360717077,1.357859352,1.366061029,1.375587571,1.375077678,1.387463647,1.380028135,1.37276204,1.362111472,1.355475285,1.356470284,1.346881032,1.348589855,1.335928082,1.337302574,1.33997059
Uranium,1.286,1.287454227,1.289958914,1.296029601,1.292889507,1.298517343,1.294807604,1.302105471,1.303875392,1.308675502,1.30903744,1.315998868,1.310788617,1.315752182,1.306692398,1.304234126,1.301397001,1.299268584,1.290484884,1.290719366,1.299725239,1.308276711,1.317859286,1.318005203,1.328956132,1.331548163,1.335894622,1.339421324,1.336557071,1.334941621,1.331940341,1.319952502,1.309710933,1.319056007,1.321906839,1.314740419,1.309360182,1.306812513,1.311266661,1.305405512,1.29828821,1.298255202,1.309334968,1.31390664,1.308895606,1.314714911,1.318432652,1.319966598,1.316782816,1.322130831,1.323143667,1.324139973,1.328151104,1.329901832,1.325578147,1.323367978,1.317581747,1.317385167,1.319189894,1.32620311,1.328312673,1.32537625,1.330583315,1.336350099,1.334661107,1.331636642,1.332908374,1.335576528,1.346469359,1.3562638,1.364083056,1.373024667,1.370661188,1.367880562,1.368305322,1.371698666,1.377362402,1.37638338,1.369149541,1.361022374,1.351122371,1.348645733,1.345353264,1.341376743,1.335335141,1.331622538,1.331546395,1.326538735,1.327446166,1.333157482,1.332065954,1.324527795,1.322729418,1.321753826,1.331132307,1.342350721,1.332754359,1.328415913,1.326200093,1.332110034,1.33539252,1.32451186,1.315137255,1.309920618,1.311460906,1.317611884,1.323477563,1.332205152,1.331352211,1.32539395
Uranium,1.286,1.27551323,1.284156529,1.293761067,1.284958176,1.284549837,1.287150487,1.286215768,1.27799209,1.27288267,1.276717333,1.285318096,1.292537459,1.287509805,1.275710431,1.281485022,1.281201206,1.281897307,1.279918195,1.288674383,1.285299583,1.289689804,1.291845527,1.290109241,1.295630346,1.299577809,1.30629461,1.309372464,1.314285437,1.321380393,1.329324762,1.335972041,1.333730036,1.338430253,1.334181356,1.337568872,1.335920709,1.342042123,1.341080356,1.351428805,1.34744512,1.346650438,1.342345834,1.342575412,1.350125684,1.354082721,1.343650851,1.345121403,1.346071646,1.346341122,1.345744779,1.347221744,1.359097549,1.354030973,1.355570431,1.348769026,1.348274662,1.345125981,1.347520179,1.345732681,1.344232554,1.347703458,1.354111916,1.353250483,1.351242796,1.356332431,1.352021202,1.357144606,1.357716912,1.359164603,1.359899978,1.364790698,1.365533968,1.360155638,1.362712193,1.3654116,1.36314471,1.357130496,1.360871675,1.365937977,1.373328522,1.366296603,1.359783966,1.359750837,1.363897096,1.365695537,1.366468255,1.355729613,1.350189973,1.342031452,1.342118129,1.343054432,1.349572947,1.361012025,1.373013472,1.374531963,1.372677239,1.362430499,1.356687612,1.362922054,1.361942535,1.364575563,1.357219152,1.354567724,1.361647832,1.362665303,1.358872609,1.367922037,1.370072242,1.365070388
Uranium,1.286,1.29128515,1.297907743,1.303441024,1.293300203,1.292442938,1.284205249,1.279217135,1.269807807,1.27954316,1.285081225,1.286677574,1.275134124,1.282444734,1.285688058,1.289968415,1.293311815,1.302934777,1.303340454,1.307996116,1.307233987,1.309915776,1.314950214,1.312521154,1.305570808,1.309044389,1.301055074,1.306085421,1.298994952,1.291293595,1.285458651,1.293501245,1.293385072,1.291162408,1.286873299,1.289498906,1.28554979,1.285215347,1.285122301,1.283497002,1.28920028,1.291416483,1.28645419,1.29260602,1.285198459,1.278602567,1.276985368,1.283190155,1.283991844,1.285058507,1.283612236,1.28301448,1.280613159,1.272755017,1.269666768,1.281507351,1.287773272,1.289453966,1.283421975,1.291898566,1.280940064,1.279434136,1.283125569,1.287470306,1.286922848,1.291545052,1.28918035,1.29333093,1.302416689,1.311739984,1.303117756,1.306552156,1.312066369,1.322438675,1.321549444,1.317150929,1.316293162,1.316099232,1.310319554,1.317328176,1.31814982,1.31545222,1.307419015,1.309982348,1.309436802,1.315305476,1.324120907,1.320024172,1.312142339,1.30871578,1.307198049,1.301623656,1.294811781,1.287725574,1.294470469,1.29102956,1.294980319,1.297045441,1.307134674,1.303328778,1.293729664,1.292349147,1.289297621,1.293642712,1.297502324,1.297601833,1.305324473,1.306146849,1.305254296,1.309698544
Uranium,1.286,1.274652048,1.265323769,1.268811754,1.273481109,1.282084342,1.293777958,1.28949357,1.295307673,1.28872735,1.293032716,1.293206269,1.29809183,1.302828558,1.301888924,1.297408533,1.296262088,1.301831833,1.301175378,1.291846469,1.287548216,1.294128786,1.291083883,1.290219674,1.292219658,1.282336505,1.275965673,1.280216122,1.278370623,1.273668462,1.27588507,1.279983683,1.273588769,1.263387697,1.263874964,1.268060812,1.273015199,1.276962296,1.272358967,1.279664469,1.290405645,1.293321955,1.292681154,1.281674547,1.285650105,1.288702408,1.288479524,1.287503025,1.290642603,1.296429836,1.284882867,1.27613186,1.276604783,1.277458675,1.279531686,1.268727691,1.26791651,1.267125333,1.267651118,1.270756976,1.271888006,1.273202227,1.281286991,1.281874806,1.278737794,1.282583209,1.283330338,1.283336632,1.282566437,1.284276246,1.283851389,1.291751624,1.289772243,1.295331676,1.292072801,1.296912648,1.30372537,1.310413389,1.312879413,1.314963632,1.316685433,1.320550287,1.321310607,1.323878538,1.333027355,1.336415343,1.32871386,1.339987964,1.332601851,1.331480771,1.339038724,1.329991345,1.326961371,1.336092913,1.337950278,1.346736201,1.350862932,1.353459619,1.351549429,1.346539473,1.348195965,1.348803581,1.347577157,1.347919074,1.349604183,1.35110977,1.358918478,1.36131253,1.358018897,1.361516858
Uranium,1.286,1.280740654,1.286123399,1.275578981,1.278974369,1.279432176,1.269452144,1.2775929,1.26892311,1.271233671,1.281697185,1.289557501,1.288939716,1.291082878,1.288698396,1.28939634,1.290099478,1.288716711,1.282033084,1.282062547,1.27776415,1.279329872,1.283034193,1.279356008,1.282109893,1.272204004,1.269980617,1.268745319,1.266880953,1.259585701,1.251855217,1.257501755,1.250384956,1.241481999,1.233315747,1.229006256,1.228818632,1.229340906,1.234639211,1.245062549,1.245510965,1.238971217,1.242460338,1.233805628,1.239215618,1.229987399,1.222800418,1.219526713,1.221481678,1.220717825,1.226493224,1.229758041,1.239122482,1.243202836,1.252110262,1.258658689,1.256723383,1.258323735,1.255301957,1.25599067,1.252507488,1.252116533,1.257153916,1.25810572,1.253292486,1.256437969,1.268416071,1.279994519,1.283990182,1.282775713,1.284979865,1.297291258,1.298245602,1.301064448,1.312174591,1.314969502,1.315405257,1.318001152,1.323225787,1.32932078,1.322445573,1.317888633,1.327696765,1.328662401,1.333160391,1.341090042,1.339101103,1.343822325,1.340950689,1.33562226,1.34299087,1.333979142,1.326078158,1.329480848,1.323630882,1.320311769,1.320564629,1.321238404,1.32015909,1.315275187,1.322318706,1.321193342,1.321321612,1.323116458,1.322989735,1.316944696,1.317529299,1.324087793,1.325266618,1.326100388
Uranium,1.286,1.287101814,1.290930023,1.296784276,1.286269569,1.290093066,1.281416508,1.277463458,1.276576243,1.275522169,1.286540939,1.276976738,1.279486109,1.276467255,1.272169043,1.276566082,1.277894438,1.275072073,1.272835199,1.277491401,1.284500039,1.283655083,1.286581138,1.282504411,1.274576875,1.265215782,1.273046428,1.277021267,1.26824045,1.259759672,1.261737681,1.269347551,1.275920328,1.276684392,1.276631439,1.281295771,1.288494225,1.27844151,1.282854689,1.282873045,1.287475843,1.286040668,1.291733681,1.286866681,1.28940834,1.293045975,1.290189226,1.287885446,1.286075968,1.278847964,1.278980055,1.281050523,1.276330196,1.271054365,1.279915238,1.270111765,1.271836165,1.273981381,1.267225305,1.262412303,1.264176231,1.272139051,1.267888128,1.259139659,1.255019453,1.2509164,1.251505555,1.243649327,1.242509298,1.239486237,1.234061295,1.235855356,1.235793575,1.236722962,1.235925732,1.236529514,1.233083548,1.229249731,1.235238922,1.233742715,1.229278412,1.232434571,1.237398691,1.244181441,1.250161137,1.247813691,1.251380365,1.260975606,1.253450282,1.256053521,1.258066764,1.257927486,1.258707405,1.254035847,1.260959919,1.266943669,1.269024513,1.269916719,1.272494296,1.281167943,1.283728803,1.284459394,1.292463224,1.291782492,1.287110036,1.278719022,1.271580864,1.276365627,1.275348744,1.278336202
Uranium,1.286,1.294654715,1.301506208,1.291527457,1.291252802,1.295339203,1.287495535,1.281819361,1.279744913,1.285444766,1.293050133,1.286235335,1.28617013,1.276945609,1.271534034,1.263443254,1.271037019,1.263071125,1.274208203,1.280876598,1.276796039,1.281088057,1.284999138,1.285846519,1.289764706,1.290155507,1.295050489,1.287338844,1.289666628,1.297349341,1.301497346,1.300782157,1.309292401,1.307320242,1.297373831,1.305770248,1.295932756,1.290546647,1.29008915,1.290528593,1.289776234,1.292164109,1.282177235,1.283491067,1.279378168,1.275164442,1.272373577,1.267982014,1.267000845,1.26424289,1.265152404,1.271540507,1.266932019,1.260875714,1.255477311,1.251327245,1.250897609,1.251563505,1.242105945,1.24664392,1.245524569,1.247228075,1.245626124,1.242838086,1.239217882,1.236108011,1.245875247,1.250047851,1.240910094,1.245873051,1.249622128,1.245172021,1.253064889,1.255706668,1.250882289,1.249917254,1.244149146,1.248541384,1.252287634,1.25626726,1.256818622,1.261001405,1.258018766,1.250824836,1.24501454,1.248077653,1.245022191,1.252990029,1.253701813,1.252526637,1.243956738,1.242619453,1.236512038,1.237369304,1.230988095,1.231492337,1.224977495,1.230928755,1.233854018,1.235899593,1.236008442,1.23187433,1.235017963,1.224429409,1.231968438,1.241389647,1.235951018,1.245921886,1.249461807,1.252736818
Uranium,1.286,1.292652013,1.292065435,1.292410287,1.296035784,1.296051984,1.307530748,1.300167118,1.299958758,1.288893172,1.280105147,1.279036166,1.28048092,1.279162536,1.279278912,1.274999059,1.275365239,1.273764234,1.269168948,1.263882355,1.251915622,1.249772199,1.253461793,1.252209035,1.254749814,1.25346559,1.250934496,1.245737279,1.24582099,1.246125107,1.246800516,1.242993663,1.243023401,1.248844637,1.258932712,1.253280954,1.244711874,1.2420092,1.236200682,1.228476131,1.224611476,1.22960769,1.225126477,1.229155076,1.227827198,1.22952594,1.232554912,1.231108735,1.232849602,1.229606405,1.229548105,1.23621625,1.247957879,1.248765023,1.255679217,1.26218346,1.255461755,1.262917468,1.26288596,1.261774004,1.259914585,1.256011471,1.259913782,1.269502554,1.271308841,1.266598943,1.264937955,1.261170471,1.256957779,1.256501685,1.259461988,1.256971868,1.262443568,1.266654064,1.262292515,1.26637384,1.266094334,1.267266656,1.270623698,1.271912927,1.272576091,1.272256429,1.276375887,1.268408548,1.274746472,1.268734193,1.262040167,1.268570237,1.270307529,1.268520648,1.27135712,1.265381279,1.264826217,1.270637992,1.262276905,1.255523836,1.264724128,1.257994918,1.255975217,1.258987463,1.258754952,1.263711939,1.2682113,1.279909547,1.287912387,1.285523217,1.288496213,1.28428198,1.273647904,1.26980547
Uranium,1.286,1.288713431,1.28903584,1.297108386,1.295384079,1.29689329,1.296656721,1.292824179,1.28886631,1.288252679,1.29095589,1.285150922,1.286004826,1.280048244,1.285213672,1.284735678,1.288823636,1.28980188,1.291045525,1.293591385,1.291603397,1.287463921,1.298365364,1.288360485,1.289926292,1.299154879,1.298095808,1.291214677,1.287844956,1.289968782,1.290722908,1.28592174,1.285854408,1.291197832,1.294330726,1.288076445,1.292434127,1.288320824,1.278781646,1.280349328,1.278264828,1.277219458,1.273628698,1.277869614,1.281057802,1.279077175,1.269269451,1.261061722,1.258056024,1.255306876,1.260799152,1.259222404,1.260223549,1.255349593,1.256701879,1.262132179,1.258702648,1.254137181,1.246559482,1.244251606,1.250274377,1.248716983,1.256146159,1.244760625,1.246307965,1.25008677,1.245250608,1.250509177,1.246802483,1.249680407,1.250621213,1.246076377,1.245767992,1.244111717,1.242449316,1.241547339,1.241310347,1.242358882,1.246034849,1.247651516,1.248713441,1.256632036,1.245019027,1.245323446,1.243037001,1.242565464,1.248030222,1.246255571,1.255545868,1.250856484,1.241992476,1.237022876,1.233344798,1.244139112,1.244541443,1.244597559,1.250874561,1.245522991,1.247846984,1.255022341,1.259723962,1.265048546,1.256479257,1.255720623,1.254498122,1.259767984,1.254090613,1.246632558,1.240446726,1.243600286
Uranium,1.286,1.277155568,1.272954419,1.279272672,1.276719484,1.272174566,1.272477877,1.265058768,1.272687725,1.263959157,1.267771174,1.261589999,1.267245532,1.268301235,1.263239569,1.269687981,1.26004893,1.264806678,1.263422801,1.270314471,1.273350439,1.281976584,1.279376476,1.284557685,1.284079752,1.284319781,1.278790723,1.270060893,1.263055783,1.26924877,1.27258975,1.276603722,1.270861441,1.265725922,1.264336987,1.275791897,1.282986912,1.28744314,1.285146146,1.280305863,1.282618048,1.288258605,1.288043097,1.282122012,1.278044224,1.279714815,1.277903232,1.28419937,1.289360867,1.285031713,1.285056558,1.289224766,1.290098183,1.29031973,1.282285063,1.279062198,1.2778926,1.274065021,1.286528468,1.293425082,1.291818249,1.291783389,1.296861736,1.293244014,1.300426041,1.296507414,1.288474691,1.289011516,1.284986061,1.277287069,1.276993129,1.281157297,1.278989812,1.286075537,1.286333911,1.2954977,1.295172633,1.301384423,1.300455397,1.292333695,1.286584826,1.290574427,1.291958296,1.296082563,1.298759486,1.309727047,1.314932032,1.311395567,1.313957083,1.319189949,1.327160058,1.318746119,1.31564576,1.307742128,1.316053231,1.315574055,1.312557931,1.312669331,1.311328222,1.301680378,1.299019884,1.297392527,1.295636085,1.304784884,1.313793143,1.317216099,1.329827214,1.325386876,1.334724098,1.34584889
Uranium,1.286,1.289516719,1.289027329,1.292512061,1.283542397,1.280583644,1.275991093,1.27556811,1.28512606,1.284270513,1.2922745,1.282933309,1.280113499,1.289517054,1.289965785,1.293593508,1.285986932,1.284713826,1.293824097,1.292236371,1.294191962,1.290056361,1.286670681,1.291122827,1.289006185,1.285746263,1.281154918,1.28541943,1.288407484,1.290411263,1.29718652,1.289384308,1.295196568,1.298193106,1.301758154,1.30179933,1.301727476,1.300476742,1.296418145,1.293452824,1.285278995,1.286983825,1.28092245,1.284503688,1.286270639,1.2888181,1.28380502,1.281543648,1.279800222,1.289836947,1.298480049,1.300003123,1.306849803,1.309196305,1.308495995,1.312424639,1.312145728,1.315751461,1.314788157,1.302494535,1.305387364,1.304637378,1.297682338,1.303715782,1.310690962,1.319091519,1.330608488,1.332474656,1.323781507,1.331370891,1.321816645,1.317971768,1.313837849,1.31233373,1.312740447,1.310104126,1.310569351,1.318442839,1.312191866,1.30764702,1.306381892,1.307846058,1.306822482,1.306440985,1.295273088,1.297020439,1.297344407,1.287928433,1.28856386,1.277552688,1.27673804,1.281270333,1.279387126,1.273783626,1.273519159,1.280755974,1.284731767,1.28112526,1.278369931,1.286022441,1.284839638,1.282698218,1.285301592,1.286085768,1.291361652,1.293492139,1.28949446,1.28732134,1.2874272,1.276133898
Uranium,1.286,1.29308289,1.294670457,1.289813442,1.283304259,1.276366935,1.28768399,1.294022724,1.285309934,1.289626089,1.296144695,1.305349435,1.296020756,1.290175457,1.292668899,1.291229906,1.282713899,1.287433557,1.289656225,1.286917888,1.280129036,1.279061711,1.271022775,1.264590609,1.266668598,1.263234535,1.264920814,1.269746595,1.261077492,1.266498724,1.26082324,1.262367748,1.267283097,1.269461588,1.259729071,1.260941673,1.272507295,1.276610401,1.275985788,1.283085381,1.287846014,1.277737551,1.27531561,1.27568626,1.28156356,1.283992683,1.287739291,1.295613547,1.30263774,1.301165793,1.305758165,1.304604023,1.298760851,1.300389139,1.304193202,1.303967937,1.298612799,1.301061431,1.302780191,1.299298542,1.29717141,1.297912017,1.296872997,1.295968993,1.287946109,1.287433571,1.279039619,1.28015669,1.28048256,1.280382391,1.286997587,1.294021908,1.303078126,1.309388626,1.310996919,1.316140837,1.309927942,1.306179456,1.304293754,1.308593975,1.307585414,1.315980137,1.31746192,1.322666707,1.313364503,1.313247193,1.306236781,1.300839134,1.294525938,1.294814058,1.297624919,1.290057451,1.293696004,1.305802942,1.310856186,1.316761057,1.314807332,1.316189861,1.319296583,1.326069991,1.326702093,1.326607708,1.33190214,1.330700452,1.321009997,1.311550557,1.308526542,1.302603302,1.299696474,1.298112262
Uranium,1.286,1.284870025,1.289817022,1.291600348,1.298950524,1.308471219,1.309263717,1.307088,1.310168275,1.312211965,1.306418653,1.315879999,1.321908522,1.31176189,1.317308457,1.318164443,1.317024384,1.317010422,1.316712831,1.312485657,1.323028596,1.332088236,1.334656432,1.33167573,1.334670796,1.336651813,1.34332156,1.348605197,1.349979987,1.342556091,1.341193564,1.346715499,1.354063679,1.361781007,1.357134985,1.355174296,1.353793654,1.355828452,1.355168226,1.353466479,1.35545167,1.356876043,1.358534729,1.350557275,1.345007335,1.345181897,1.336791668,1.34326275,1.348139987,1.355748038,1.355365682,1.349434512,1.35421808,1.35446695,1.358558428,1.346683165,1.350531863,1.356763465,1.359822638,1.363815924,1.360394876,1.353805967,1.366553908,1.368525578,1.366265505,1.373094538,1.377041386,1.370997349,1.372129575,1.365844675,1.363364629,1.359312556,1.367438795,1.360470952,1.364638409,1.376232461,1.387210597,1.383768371,1.383736714,1.388777899,1.378588266,1.383119074,1.381681639,1.387953761,1.383512389,1.381425398,1.382593499,1.380139505,1.379080536,1.374369581,1.374236088,1.378242474,1.381105964,1.370344769,1.365930876,1.363570368,1.36302775,1.364537386,1.352742136,1.347828548,1.34202848,1.342735768,1.33444859,1.341146088,1.345368072,1.348073955,1.352451513,1.353284299,1.345110731,1.351899595
Uranium,1.286,1.288742622,1.297384952,1.296991539,1.297783974,1.30058124,1.294457135,1.288926903,1.280862573,1.279566124,1.277020879,1.275526785,1.274502101,1.271281189,1.266150277,1.258695121,1.255193863,1.246470331,1.243967992,1.248562911,1.247534653,1.242190254,1.24184564,1.244922444,1.246457097,1.242651433,1.248048629,1.238778602,1.234699327,1.235755188,1.236395337,1.234594428,1.239164986,1.239044145,1.2331369,1.226923943,1.223227098,1.215699496,1.223083374,1.220684875,1.22307004,1.2200333,1.216720113,1.207461357,1.203808713,1.199953251,1.197024376,1.196767639,1.187974045,1.193723609,1.202338315,1.201933223,1.210488857,1.214122408,1.211212917,1.205815547,1.207902885,1.208625065,1.211389268,1.212289756,1.209505584,1.209091424,1.214398275,1.21654384,1.217668549,1.226930746,1.230676672,1.227568034,1.225993994,1.22393102,1.224786849,1.224111105,1.230584117,1.235615963,1.228258538,1.227205011,1.228321415,1.234160599,1.226819672,1.230415926,1.229635871,1.229739915,1.22295635,1.230994568,1.232994625,1.22503566,1.215163068,1.226056979,1.229983944,1.233309853,1.240592275,1.241818347,1.240939942,1.246857211,1.252817172,1.258734165,1.254045734,1.245040255,1.239364843,1.248787654,1.240829136,1.239974974,1.24448606,1.256118908,1.262722985,1.257138534,1.263315262,1.266338819,1.276581013,1.274760201
Uranium,1.286,1.28633534,1.288334556,1.288216264,1.289815118,1.293198015,1.289719052,1.284008565,1.281096308,1.275488477,1.278768893,1.27108156,1.27068789,1.273410222,1.264728632,1.265208242,1.263857504,1.268540593,1.264049963,1.261264318,1.256275645,1.260277011,1.261247888,1.25945486,1.260939368,1.270383702,1.270664968,1.274905045,1.277918496,1.27796372,1.280010686,1.276933537,1.280186665,1.281588282,1.286295086,1.283091826,1.286773832,1.289529441,1.286087617,1.285576874,1.294285182,1.303889128,1.305829867,1.303337888,1.30720122,1.300632183,1.298386779,1.295700346,1.295341547,1.290214104,1.291135184,1.292007725,1.293904327,1.298473215,1.300427778,1.300765231,1.301141594,1.294068413,1.287405328,1.296970321,1.295402308,1.288639712,1.291123171,1.28812056,1.284977789,1.285671533,1.287855832,1.29600077,1.301997761,1.305634088,1.307615404,1.317410649,1.316351626,1.321131964,1.32280166,1.315588121,1.314277876,1.312714664,1.323048138,1.32085476,1.325890505,1.326406018,1.321029848,1.330975587,1.329654196,1.338184463,1.338876418,1.328058418,1.328156889,1.332058717,1.332890035,1.320949376,1.324550685,1.327734101,1.330587915,1.333180383,1.337669453,1.328911839,1.333066365,1.338567847,1.333199938,1.336973262,1.344716592,1.345926449,1.341580972,1.346393419,1.340707034,1.337990931,1.333170864,1.329173687
Uranium,1.286,1.290079744,1.294701598,1.295009018,1.293176179,1.290574201,1.292988304,1.296889982,1.29046426,1.280941908,1.289505754,1.286834361,1.279282137,1.273031368,1.269562716,1.272252374,1.277246036,1.269584682,1.273714207,1.272615028,1.284033204,1.280869222,1.291948077,1.280424077,1.278934839,1.279724516,1.280498736,1.273957865,1.277943567,1.279003066,1.277078143,1.283324117,1.280107598,1.275791483,1.287538973,1.295548328,1.290610788,1.290773279,1.292252675,1.291172376,1.292406705,1.303159709,1.307444002,1.303790554,1.303857641,1.294114901,1.294879988,1.293611425,1.291274676,1.29189449,1.302286523,1.297550821,1.2908268,1.298013004,1.294321285,1.286914688,1.284895439,1.280025805,1.280604744,1.272357719,1.271412972,1.26978679,1.262386551,1.261605815,1.258807771,1.266735604,1.268093109,1.260982514,1.259544569,1.266148211,1.265350516,1.254995262,1.245525459,1.236048359,1.233324605,1.230845774,1.233035035,1.233080289,1.229836474,1.233922069,1.241657856,1.249379487,1.2446569,1.249107519,1.246078522,1.243560858,1.247658097,1.251326123,1.248579767,1.243924388,1.247273774,1.253550804,1.244599261,1.249926337,1.243683399,1.242280437,1.238981594,1.237394914,1.237328275,1.238804648,1.246116295,1.255070525,1.259888565,1.265399675,1.267862104,1.274590369,1.270347707,1.273251514,1.27085387,1.267472282
